ALBUM,ID,STONE,SPIN,PASTE,MOJO,QUIETUS,SGUM,Q,UNCUT,NME,GvsB,AmSong,AVClub,P&P,POPMAT,DRWND,MAGNET,NPR,COMPLX,PFORK,eMUSIC,FACT,WIRE,SLANT,TMT,,AVG,WT-AVG,CONS-SCORE,# Lists
Kanye West - Yeezus,2,2,1,16,38,13,1,26,17,2,,,1,1,6,,,25,1,2,2,3,11,4,5,,8.85,0.4425,19.875,20
Vampire Weekend - Modern Vampires in the City,1,1,3,7,7,,3,2,20,14,,12,5,6,1,6,19,25,47,1,9,,,1,,,9.95,0.5235457064,23.5,19
HAIM - Days Are Gone,31,31,4,10,43,,8,10,38,25,,25,2,4,9,,24,25,7,17,27,,,,,,18.18,1.069204152,34.75,17
Daft Punk - Random Access Memories,3,3,19,15,2,,9,4,13,6,,,11,23,7,,8,,45,7,6,,,,,,11.87,0.7911111111,35.54166667,15
Arcade Fire - Reflektor,5,5,37,18,18,,10,,42,7,,23,,2,19,5,,,16,10,3,,,2,,,14.47,0.9644444444,37.16666667,15
My Bloody Valentine - mbv,23,23,39,26,13,,5,12,1,29,,,17,,10,35,12,,,4,,,21,24,23,,18.38,1.1484375,37.25,16
The National - Trouble Will Find Me,8,8,,12,,,27,37,14,20,,6,4,,12,16,5,,,43,22,,,8,,,16.71,1.193877551,41,14
The Knife - Shaking the Habitual,54,,9,21,,22,38,43,22,43,17,,,,3,,,,,14,1,48,10,7,18,,21.07,1.404444444,41.29166667,15
Disclosure - Settle,13,13,5,,27,,4,23,,19,,,,20,4,,,,35,3,11,,,5,,,14.08,1.173611111,44.54166667,12
Chance The Rapper - Acid Rap,26,26,2,,,,18,,,,,,17,5,22,20,,25,4,12,31,23,43,,,,19.08,1.467455621,44.70833333,13
Bill Callahan - Dream River,71,,40,27,1,,24,27,7,35,,11,,,,43,20,25,,16,30,,,,30,,24.00,1.714285714,45.25,14
Danny Brown - Old,17,17,12,38,,,7,,,,2,,,13,,,,,5,5,7,28,,,27,,14.64,1.330578512,47.33333333,11
Kurt Vile - Wakin on a Pretty Daze,38,38,10,6,,,13,36,8,37,,,,,,,16,,,13,4,,,13,,,17.64,1.603305785,48.70833333,11
Savages - Silence Yourself,43,43,,14,,11,14,32,,5,,,6,,16,,11,,,9,36,,,,,,17.91,1.628099174,48.83333333,11
Laura Marling - Once I Was An Eagle,20,20,33,,22,,,18,5,9,,20,,,32,,,25,,,40,,,20,,,22.18,2.016528926,50.79166667,11
Neko Case - The Worse Things Get...,34,34,47,28,,,,,31,,,,8,,2,41,2,,,27,16,,,12,,,22.55,2.049586777,50.95833333,11
Earl Sweatshirt - Doris,42,42,31,43,23,,,,39,27,,,,22,,,,,11,19,10,30,34,,,,27.58,2.298611111,51.29166667,12
Chvrches - The Bones Of What You Believe,32,32,,8,,,21,,,23,,,4,,8,,13,,,36,21,,,22,,,18.80,1.88,51.58333333,10
Autre Ne Veut - Anxiety,88,,,33,,,42,,,,1,,,8,17,47,,,18,31,,45,30,,6,,25.27,2.297520661,52.20833333,11
Janelle Monae - The Electric Lady,70,,38,4,,,41,31,,34,,,14,,11,,,,,18,14,,,11,,,21.60,2.16,52.75,10
Nick Cave & The Bad Seeds - Push The Sky Away,103,,,,9,6,,,3,8,,18,,,21,2,23,,,,,,,,,,11.25,1.40625,53.75,8
David Bowie - The Next Day,16,16,,,3,3,,3,2,10,,,10,,47,,,,,,,,,,,,11.75,1.46875,53.91666667,8
Phosphorescent - Muchacho,78,,,1,11,,50,,,,,3,,12,18,,25,,,35,20,,,,,,19.44,2.160493827,54.16666667,9
Oneohtrix Point Never - R Plus Seven,60,,23,,,18,30,,,,5,,,,,,,,,24,49,34,6,,1,,21.11,2.345679012,54.79166667,9
These New Puritans - Field of Reeds,126,,,,45,2,,42,32,28,,,,,,8,,25,,,,29,18,,47,,27.60,2.76,55.25,10
Waxahatchee - Cerulean Salt,36,36,20,19,,,16,,,17,,,7,,40,,,25,,22,,,,,,,22.44,2.49382716,55.29166667,9
Run The Jewels - Run The Jewels,58,,21,9,,,12,40,,,,,,9,43,,,25,15,28,,,,,,,22.44,2.49382716,55.29166667,9
Drake - Nothing Was The Same,14,14,50,,,,28,,,,,,,7,,,,,2,25,26,42,,9,,,22.56,2.50617284,55.33333333,9
Arctic Monkeys - AM,9,9,,,4,,,1,9,1,,,,,28,,,,,,,,,16,,,9.71,1.387755102,55.95833333,7
Deafheaven - Sunbather,59,,22,,,,2,,,,,,3,,39,31,,25,31,6,,,,,,,19.88,2.484375,56.625,8
Tim Hecker - Virgins,51,,6,,49,,,,,,,,15,,14,,,25,,,47,,5,,11,,21.50,2.6875,57.16666667,8
Queens of the Stone Age - …Like Clockwork,6,6,49,29,15,,,14,,3,,,,,27,,,,30,,,,,,,,21.63,2.703125,57.20833333,8
Lorde - Pure Heroine,7,7,,36,,,,,,,,26,9,28,,,,,,,5,,,3,,,16.29,2.326530612,57.875,7
James Blake - Overgrown,110,,,,25,,,46,,50,,,,3,44,,,25,33,26,,,,,25,,30.78,3.419753086,58.41666667,9
Jon Hopkins - Immunity,113,,,,29,17,,5,,11,,,,,37,7,,,,37,,,,,,,20.43,2.918367347,59.08333333,7
Kacey Musgraves - Same Trailer Different Park,28,28,17,20,,,,,,,,7,,,13,,,25,,,42,,,,,,21.71,3.102040816,59.45833333,7
Jason Isbell - Southeastern,81,,,11,,,,,26,,,1,,,5,,,25,,,13,,,,,,13.50,2.25,59.625,6
Julia Holter - Loud City Song,127,,,,47,,36,,15,,,,,,42,39,,,,49,,,1,,3,,29.00,3.625,59.66666667,8
Factory Floor - Factory Floor,106,,,,16,4,,19,46,26,,,,,,26,,,,,28,,,,,,23.57,3.367346939,60,7
Deerhunter - Monomania,80,,,5,6,,23,,,22,,,,,,,6,,,30,,,,,,,15.33,2.555555556,60.08333333,6
"Sky Ferreira - Night Time, My Time",21,21,,,,,6,,,,,,,,,,,25,25,15,,2,,,,,15.67,2.611111111,60.16666667,6
Pusha T - My Name Is My Name,33,33,46,34,,,,,,48,,,,11,34,,,,3,50,,,,,,,32.38,4.046875,60.79166667,8
Ka - The Night's Gambit,53,,8,,,,,,,,,,,,,11,,25,21,,37,11,,,,,18.83,3.138888889,60.95833333,6
MIA - Matangi,47,47,11,24,,,,,,12,,,,26,,,,,32,46,,,,,,,28.29,4.040816327,61.375,7
Fuck Buttons - Slow Focus,48,48,,,,,,,,40,,,12,,,13,,,,45,23,,,19,,,28.57,4.081632653,61.45833333,7
Boards of Canada - Tomorrow's Harvest,52,,7,,,,,25,10,,,,,,,22,,,,38,,,23,,,,20.83,3.472222222,61.45833333,6
Rhye - Woman,63,,26,32,,,,,,,,,,24,38,,,25,14,42,,,,,,,28.71,4.102040816,61.5,7
Parquet Courts - Light Up Gold,11,11,,23,,,,33,18,24,,,,,,,,,,40,,,,,,,24.83,4.138888889,62.45833333,6
