ALBUM,ID,NME,UNCUT,Q,MOJO,AmSong,RoughT,QUIETUS,STONE,PASTE,SGUM,GvsB,FASTER,AVClub,POPMAT,PMA,WIRE,NPR,SPIN,FACT,DRWND,CoS,AMG,SLANT,WEISS,TMT,PFORK,MAGNET,405,CRACK,UTR,COMPLX,FLVRW,WS,NOISEY,P&P,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s,#1s
FKA Twigs - LP1,21,21,4,8,9,,37,11,16,35,9,,7,6,8,6,,25,21,16,15,7,25,7,6,33,2,,1,7,13,10,,7,,1,,12.86,0.4435196195,23.51428571,29,17,2
St. Vincent - St. Vincent,1,1,9,6,5,21,,,4,2,49,,2,3,4,3,,25,26,,,8,25,1,21,,16,10,10,,2,22,5,34,,4,,12.23,0.4704142012,28.37142857,26,17,1
War on Drugs - Lost in the Dream,3,3,1,1,2,2,2,,23,1,2,30,3,4,7,2,,25,1,,9,1,25,4,,,3,4,,,1,,,14,,,,7.08,0.2951388889,28.42857143,24,19,6
Run The Jewels - RTJ2,14,14,,,,,,,8,3,1,,8,2,1,5,8,25,3,,,2,25,17,1,,1,,14,11,12,1,3,3,25,2,,8.13,0.3385416667,29.14285714,24,16,5
Angel Olsen - Burn Your Fire For No Witness,24,24,,,17,7,6,,,11,5,18,9,1,12,23,,25,,24,,3,,,,,15,,,22,5,26,2,38,12,26,,15.05,0.6838842975,37.31428571,22,8,1
Sharon Van Etten - Are We There,31,31,5,7,11,50,40,,20,8,7,16,40,5,22,11,,,,,2,17,,,,,19,,6,17,8,,,26,24,,,17.82,0.8099173554,39.05714286,22,8,0
Aphex Twin - SYRO,4,4,3,10,21,,35,,41,,33,,,,9,9,1,25,23,,48,30,25,11,30,28,4,18,,50,17,,,6,,,,20.91,0.9092627599,39.45714286,23,8,1
Caribou - Our Love,5,5,12,22,12,,12,,39,26,39,,22,,18,37,,,5,,,5,,,4,,10,,13,48,6,9,,4,,3,,16.71,0.7959183673,40.02857143,21,9,0
Sun Kil Moon - Benji,34,34,10,,26,,10,,,23,3,,14,,2,4,,,6,1,14,11,,19,,14,7,,,39,41,,15,41,,,,16.70,0.835,41.68571429,20,8,1
Perfume Genius - Too Bright,26,26,,,,16,,,42,20,23,,19,17,,7,,25,,,37,22,25,,,25,11,23,15,,26,20,1,1,,,,20.05,1.0025,43.6,20,3,2
Swans - To Be Kind,22,22,18,,42,,36,3,,,13,,,18,5,8,3,,17,,10,28,,,,30,6,20,,12,22,,,28,,,,17.95,0.944598338,44.02857143,19,6,0
Flying Lotus - You're Dead!,102,,,,36,,,,11,22,35,12,11,9,3,12,50,,,,,31,25,22,18,,17,,2,,14,,,21,,19,,19.47,1.024930748,44.85714286,19,3,0
Mac DeMarco - Salad Days,2,2,,17,39,19,21,,9,18,,,5,16,,14,,,42,,,,25,5,26,,12,,,,11,,14,,,30,,18.06,1.00308642,45.71428571,18,4,0
Future Islands - Singles,11,11,39,9,22,,33,43,,25,32,,,,24,21,,,7,,21,32,25,,,,22,8,29,30,3,,,,,,,22.95,1.207756233,46.74285714,19,4,0
Spoon - They Want My Soul,72,,30,47,,31,,,29,12,46,,,13,10,13,,25,12,,41,9,,2,,,13,6,,,7,,,,,,,20.35,1.197231834,48.45714286,17,5,0
Freddie Gibbs & Madlib - Pinãta,43,43,,,,,25,17,,,,8,12,,20,16,27,25,25,29,,10,,,5,19,43,,,29,,33,,,,37,,23.50,1.305555556,48.51428571,18,3,0
Lana Del Ray - Ultraviolence,25,25,,19,40,,,,7,,12,10,30,,,10,,,41,,,13,25,3,,,,21,,10,,3,,,,14,,17.69,1.10546875,48.8,16,6,0
Todd Terje - It's Album Time,17,17,,,,,3,,,,30,,,,34,15,,,16,,22,19,,,17,,8,,18,8,43,,13,13,,,,18.40,1.226666667,50.74285714,15,3,0
YG - My Krazy Life,209,,,,,,,,25,,15,,,,,,,25,18,6,,36,,,9,,27,,17,34,,2,,9,20,24,,19.07,1.362244898,52.62857143,14,4,0
Cloud Nothings - Here and Nowhere Else,219,,,,,,,,,47,27,,20,8,46,22,,,22,,11,4,25,,,,34,17,,32,32,,,5,,,,23.47,1.564444444,52.91428571,15,3,0
Grouper - Ruins,188,,,,,,,19,,,,2,,,,36,13,25,,11,24,,,,,2,5,,30,,33,,6,,4,,,16.15,1.24260355,53.14285714,13,5,0
Taylor Swift - 1989,115,,,,,4,,,10,,22,,18,15,15,17,,25,34,,3,,,,,,31,,,,,8,,,21,,,17.15,1.319526627,53.51428571,13,4,0
Against Me! - Transgender Dysphoria Blues,125,,,,,20,,,15,,14,,25,,6,40,,,14,,,6,,,,,,5,,,,,21,15,2,,,15.25,1.270833333,54.51428571,12,4,0
Ariel Pink - pom pom,52,,23,,,,,,,,29,3,21,,,49,47,,30,12,,,,,13,27,9,,,,27,,,18,,,,23.69,1.822485207,55.94285714,13,2,0
Ty Segall - Manipulator,79,,13,39,13,12,19,,,14,31,,,,23,27,,,,,,24,,,,,40,12,,,,,,,,,,22.25,1.854166667,56.91428571,12,0,0
Andy Stott - Faith in Strangers,185,,,,,,,22,,,,11,,20,36,,,,33,4,,48,,,,9,45,,7,21,,,,,14,,,22.50,1.875,57,12,3,0
Real Estate - Atlas,68,,14,35,28,42,45,,,13,19,,,,,43,,,40,,,,25,,,,14,,,,4,40,,,,,,27.85,2.142011834,57.48571429,13,1,0
Shabazz Palaces - Lese Majesty,95,,,49,,,,,,38,,1,,,,18,7,,44,33,,,25,16,14,,35,,,,,,26,,,,,25.50,2.125,58.02857143,12,2,1
Sturgill Simpson - Metamodern Sounds in Country Music,75,,33,,15,1,39,,18,15,44,,,,19,,,25,,,,,25,,,,,,,,,,,19,,,,23.00,2.090909091,58.65714286,11,1,1
Parquet Courts - Sunbathing Animal,35,35,,,,,46,,28,,50,,28,,,35,,,2,,,,,18,33,,24,19,,,21,,,,,,,28.25,2.354166667,58.97142857,12,1,0
Wild Beasts - Present Tense,33,33,50,34,16,,,47,,,,,,,,20,,,,,32,,,,,,,,5,4,,,,42,17,40,,28.33,2.361111111,59,12,2,0
Beck - Morning Phase,53,,22,5,1,46,44,,,7,,,29,14,31,30,,,,,,,,,,,,,,,42,,,,,,,24.64,2.239669421,59.17142857,11,3,1
Jenny Lewis - The Voyager,127,,,,,25,,,17,16,17,,,,14,,,25,4,,,,25,,,,,,,,15,,,,,,,17.56,1.950617284,60.22857143,9,1,0
