ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Kendrick Lamar - To Pimp a Butterfly,11,11,2,9,16,2,1,2,1,1,1,,2,2,,1,25,1,3,1,9,,5.00,0.2777777778,12,18,15
Sufjan Stevens - Carrie & Lowell,10,10,10,40,12,3,21,5,,32,2,13,6,24,25,25,25,6,,6,,,15.59,0.9169550173,24.5,17,8
Courtney Barnett - Sometimes I Sit and Think...,4,4,12,6,3,7,2,6,6,26,39,,3,22,,36,25,2,,9,,,13.00,0.8125,25.4,16,10
Jamie xx - In Colour,64,,32,3,10,27,3,11,,15,6,3,20,3,,4,25,25,,2,,,12.60,0.84,28.2,15,8
Tame Impala - Currents,85,,4,1,13,6,4,15,13,20,5,,8,5,,32,,22,39,5,,,12.80,0.8533333333,28.35,15,8
"Father John Misty - I Love You, Honeybear",44,44,36,11,2,5,13,12,15,8,11,,1,16,,,,3,,12,,,13.50,0.9642857143,31.95,14,5
Vince Staples - Summertime '06,169,,,,,,5,4,35,31,10,6,26,,,24,25,9,23,4,12,,16.46,1.266272189,36.95,13,6
Grimes - Art Angels,155,,,,,,26,1,,28,3,1,24,1,,5,,15,5,3,,,10.18,0.9256198347,39.35,11,7
Sleater-Kinney - No Cities to Love,49,49,14,35,,23,11,27,11,,8,,4,13,,,,16,,27,,,19.83,1.652777778,41.9,12,2
Bjork - Vulnicura,111,,,,1,11,28,38,42,37,16,,,25,50,38,,21,,15,13,,25.77,1.982248521,43,13,1
Joanna Newsom - Divers,66,,19,13,,26,,22,29,,50,29,,17,,,25,18,,13,14,,22.92,1.909722222,43.75,12,0
Future - DS2,153,,,,,,17,18,26,2,40,,,37,,2,25,,6,19,19,,19.18,1.743801653,44.3,11,3
Julia Holter - Have You In My Wilderness,68,,1,2,30,1,,50,,,,16,,,34,48,,14,,18,4,,19.82,1.801652893,44.65,11,4
Oneohtrix Point Never - Garden of Delete,162,,,,,,30,49,,,4,14,,,8,12,,7,2,11,18,,15.50,1.55,45.25,10,4
Kurt Vile - b'lieve i'm goin down,14,14,50,7,,29,29,48,19,,38,,13,11,27,,,,,23,,,25.67,2.138888889,45.4,12,1
Kamasi Washington - The Epic,69,,41,,7,30,,35,41,,,,17,,,22,25,4,,10,8,,21.82,1.983471074,45.75,11,4
Holly Herndon - Platform,137,,,,,20,,,,,29,,21,26,10,35,,37,22,39,6,,24.50,2.45,49.75,10,2
