ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
David Bowie - Blackstar,14,art rock,14,1,1,6,3,2,1,5,7,6,6,,3,34,7,15,2,15,1,6,1,5,2,1,3,4,4,23,1,14,,29,1,1,17,36,,8.15,0.2396193772,11.86111111,34,25
Frank Ocean - Blonde,101,alternative r&b,,7,30,10,4,5,10,2,1,11,45,6,4,6,11,1,14,5,5,3,15,4,7,25,2,5,2,,43,23,1,5,3,17,11,35,,11.12,0.3269896194,14.66666667,34,22
Solange - A Seat at the Table,111,alternative r&b,,22,18,41,19,11,13,6,2,2,,,1,7,2,2,12,2,14,14,7,9,8,18,1,7,1,10,12,,24,23,34,42,1,,,12.42,0.4006243496,21.11111111,31,16
Radiohead - A Moon Shaped Pool,12,art rock,12,11,2,22,13,6,6,13,11,16,35,5,15,,35,49,10,12,4,5,4,2,14,2,8,12,10,,,25,9,,31,6,26,34,,14.53,0.4541015625,21.25,32,14
Beyonce - Lemonade,105,r&b,,12,10,11,1,1,2,1,10,12,23,10,2,1,,5,1,6,6,1,,1,3,11,6,1,3,15,,,27,32,,13,,37,,9.10,0.3139120095,21.91666667,29,19
Angel Olsen - My Woman,8,indie rock,8,28,20,13,7,34,7,7,5,9,1,33,25,32,,,33,16,12,22,8,25,9,8,9,28,9,31,,17,2,46,15,8,16,40,,17.67,0.5353535354,22.44444444,33,14
A Tribe Called Quest - We Got It From Here...,203,hip hop,,,,,12,30,4,4,,,9,1,17,3,33,13,20,8,20,38,42,20,6,15,4,6,7,8,19,10,11,,,4,6,2,,13.29,0.4744897959,27,28,15
Kanye West - The Life of Pablo,184,hip hop,,,,2,,8,11,9,23,3,49,,,4,39,7,11,26,8,2,45,14,21,,13,2,5,25,13,,3,3,6,45,,29,,15.78,0.5843621399,30.58333333,27,13
"Bon Iver - 22, A Million",51,art pop,,16,14,50,9,22,9,15,3,,14,,5,10,,17,,19,13,9,9,13,5,9,10,29,12,,,5,19,,12,,,,,13.92,0.5568,32.58333333,25,11
Nick Cave & The Bad Seeds - Skeleton Tree,11,art rock,11,3,3,24,6,20,23,23,6,1,,,,,22,,,,7,44,2,23,4,10,27,,15,21,5,32,,,10,5,2,,,13.96,0.5584,32.61111111,25,13
Chance The Rapper - Coloring Book,123,hip hop,,40,,9,2,3,15,3,14,44,12,,10,2,,3,7,17,2,4,,6,1,,7,3,6,,,6,4,,,,,,,9.57,0.415879017,33.19444444,23,17
ANOHNI - Hopelessness,6,art pop,6,42,8,43,5,35,38,19,8,4,,,32,,,23,8,25,36,17,21,12,12,5,19,16,8,,,11,,41,26,21,,,,20.04,0.7421124829,33.77777778,27,8
Danny Brown - Atrocity Exhibition,81,hip hop,,,,16,25,19,21,10,30,36,,20,,12,,32,28,14,9,18,13,3,20,,16,,11,3,,2,10,9,,,21,5,,16.12,0.6448,34.11111111,25,8
Anderson .Paak - Malibu,2,neo-soul,2,,,21,8,,16,12,4,23,,,7,14,,,9,40,25,7,28,8,19,,24,10,13,34,,,16,,,,23,8,,16.13,0.7013232514,37.38888889,23,9
Mitski - Puberty 2,73,indie pop,,,,,11,23,5,8,15,30,19,,29,46,,,6,29,19,31,27,38,,,14,15,18,5,,4,,43,,,9,39,,21.00,0.9130434783,40.5,23,6
Leonard Cohen - You Want It Darker,100,singer-songwriter,,5,4,,10,9,17,34,,,8,,,,,,17,41,17,,10,11,23,27,15,18,17,,22,45,,,7,2,50,,,18.59,0.8450413223,40.52777778,22,8
Rihanna - ANTI,167,r&b,,,,40,,25,,20,,24,,,12,8,,4,3,11,,16,,37,34,,12,11,19,13,,,8,14,38,,32,6,,18.43,0.8775510204,42,21,5
KAYTRANADA - 99.9%,76,electronic,,,,5,22,,,36,25,29,,4,13,17,,8,4,22,,23,49,48,17,,28,26,25,,,16,14,,,,,19,,21.43,1.020408163,43.75,21,4
Car Seat Headrest - Teens of Denial,10,indie rock,10,24,,45,18,4,3,11,12,19,36,,8,,,18,21,,3,8,,22,,,35,31,24,,,,,,,,,,,18.53,0.9750692521,45.19444444,19,6
Blood Orange - Freetown Sound,82,alternative r&b,,,,,14,28,18,,16,7,,,,45,31,25,18,24,11,13,32,29,,,11,33,14,,,,33,,21,,,,,22.26,1.171745152,47.16666667,19,1
