ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
Kendrick Lamar - DAMN.,45,hip hop,45,1,1,2,3,7,18,2,3,1,1,6,35,2,,2,4,3,41,1,1,1,1,2,6,3,41,,,,,,,,,,8.96,0.3446745562,11.40740741,26,21
SZA - CTRL,63,alternative r&b,,20,27,25,7,,42,7,,2,3,4,28,1,,5,2,,,35,2,2,3,3,17,18,3,,,,,,,,,,12.19,0.5804988662,26.14814815,21,13
Lorde - Melodrama,51,art pop,,2,4,,1,,28,1,18,3,44,,,10,,1,1,,,2,5,5,4,11,8,42,,,,,,,,,,,10.56,0.5864197531,32.03703704,18,13
Sampha - Process,12,alternative r&b,12,,14,10,23,35,,35,,5,5,,,4,,,27,1,,6,15,4,24,16,,,28,,,,,,,,,,15.53,0.9134948097,37.55555556,17,7
St. Vincent - MASSEDUCTION,62,art pop,,18,6,34,11,6,4,6,9,13,,40,,9,,14,6,,,13,22,,,37,,,34,,,,,,,,,,16.59,0.9757785467,38.22222222,17,7
LCD Soundsystem - American Dream,37,dance punk,37,5,2,8,5,1,27,40,1,6,,10,,,44,9,,,,5,12,,25,,,,47,,,,,,,,,,16.71,0.9826989619,38.2962963,17,10
Kelela - Take Me Apart,19,alternative r&b,19,,,,,,,11,,48,17,21,42,8,6,26,38,9,,8,4,,15,23,,,26,,,,,,,,,,20.06,1.25390625,42.44444444,16,5
Vince Staples - Big Fish Theory,71,hip hop,,28,,,15,,,4,,8,14,,12,25,30,18,10,,,21,7,17,30,17,,,,,,,,,,,,,17.07,1.137777778,42.81481481,15,4
Jlin - Black Origami,66,footwork,,23,,,,,,23,,33,,20,40,18,35,44,,35,4,10,10,16,6,,22,,11,,,,,,,,,,21.88,1.3671875,43.51851852,16,4
Perfume Genius - No Shape,151,art pop,,,,,24,29,25,17,,4,,12,,,,4,28,,,19,16,6,26,10,50,,,,,,,,,,,,19.29,1.37755102,46.11111111,14,4
Thundercat - Drunk,9,neo-soul,9,,25,,50,21,12,33,42,9,30,14,,,,47,,,,37,24,35,12,49,,,,,,,,,,,,,28.06,1.75390625,47.18518519,16,2
The War on Drugs - A Deeper Understanding,100,heartland rock,,,23,23,39,49,,20,2,49,,,,,,6,3,,,20,11,20,5,30,,,,,,,,,,,,,21.43,1.530612245,47.22222222,14,4
Mount Eerie - A Crow Looked At Me,123,singer-songwriter,,,,9,,,,8,40,21,,,,23,,10,,21,,24,14,31,23,,1,,14,,,,,,,,,,18.38,1.414201183,47.74074074,13,4
The National - Sleep Well Beast,14,indie rock,14,11,10,,13,12,,36,7,,,,,,,32,13,47,,14,,24,37,,,,,,,,,,,,,,20.77,1.597633136,48.88888889,13,2
Fever Ray - Plunge,160,electropop,,,,,41,,,,,16,,3,17,34,3,12,,,,3,9,27,17,,,,16,,,,,,,,,,16.50,1.375,49,12,4
Jay-Z - 4:44,58,hip hop,,12,46,,37,,,25,,,2,26,,24,,50,7,,,,13,11,33,,,,18,,,,,,,,,,23.38,1.798816568,50.14814815,13,2
King Krule - The OOZ,124,art rock,,,,13,16,,,31,,25,,25,9,3,,,,,,27,3,,28,9,,,,,,,,,,,,,17.18,1.561983471,51.44444444,11,4
Big Thief - Capacity,4,indie rock,4,,,,,,,,,12,,,34,,,,9,,,43,23,3,2,34,27,10,,,,,,,,,,,18.27,1.661157025,51.88888889,11,5
Father John Misty - Pure Comedy,23,singer-songwriter,23,19,7,3,4,48,,,13,50,,,,,,22,5,,,17,,,,,,,,,,,,,,,,,19.18,1.743801653,52.25925926,11,4
"Tyler, The Creator - Flower Boy",112,experimental hip hop,,,40,,19,,,,,,6,23,,5,,,14,44,18,,8,,,27,,28,,,,,,,,,,,21.09,1.917355372,53.03703704,11,3
Slowdive - Slowdive,127,dream pop,,,,16,,,22,5,11,,,13,,,,15,,,,12,30,,41,,25,,,,,,,,,,,,19.00,1.9,54.25925926,10,1
Kaitlyn Aurelia Smith - The Kid,134,art pop,,,,30,48,,,,28,,,,43,,,,34,17,5,31,44,37,21,,,,20,,,,,,,,,,29.83,2.486111111,54.92592593,12,1
Migos - Culture,56,hip hop,,9,,,,,,42,,,7,15,,13,,33,,,,,19,38,11,,,,23,,,,,,,,,,21.00,2.1,55,10,2
Julie Byrne - Not Even Happiness,132,folk,,,,27,,28,,37,14,,,,25,,,20,45,,,,37,,9,48,43,,,,,,,,,,,,30.27,2.752066116,56.77777778,11,1
Bjork - Utopia,3,art pop,3,,,,,,15,,,,,24,,,31,28,,50,,,20,,29,,21,,40,,,,,,,,,,26.10,2.61,56.88888889,10,1
Courtney Barnett & Kurt Vile - Lotta Sea Lice,34,folk rock,34,15,,5,,16,,,8,39,,,,29,,,19,,,,,,,22,,,,,,,,,,,,,20.78,2.308641975,56.92592593,9,2
Arca - Arca,211,art pop,,,,,,,,16,39,,,1,,16,32,,,42,,22,21,,,,3,,,,,,,,,,,,21.33,2.37037037,57.11111111,9,2
Moses Sumney - Aromanticism,208,art pop,,,,,,,,12,,,,,,,,19,,31,,46,6,14,10,39,,,33,,,,,,,,,,23.33,2.592592593,57.77777778,9,2
Jane Weaver - Modern Kosmology,8,dream pop,8,,22,,,5,8,,16,32,,,,,18,,,45,,,,,,,,,,,,,,,,,,,19.25,2.40625,58.48148148,8,3
J Hus - Common Sense,110,hip hop,,,37,,6,,,,,,,17,,6,,,,11,,,,,,6,,,7,,,,,,,,,,12.86,1.836734694,58.88888889,7,4
Hurray For The Riff Raff - The Navigator,165,americana,,,,,,8,29,,10,29,,,,,,,31,,,30,,9,19,,,,,,,,,,,,,,20.63,2.578125,58.88888889,8,3
Paramore - After Laughter,68,new wave,,25,,,20,,13,45,,14,,,,33,,37,,,,,,50,8,,,,,,,,,,,,,,27.22,3.024691358,59.07407407,9,1
Richard Dawson - Peasant,168,avant-folk,,,,,,20,,,6,,,9,,,1,,,,2,,,,,36,36,,,,,,,,,,,,15.71,2.244897959,59.62962963,7,4
Julien Baker - Turn Out The Lights,146,singer-songwriter,,,,47,,,,13,,,,,,30,,13,32,,,,18,,,31,,2,,,,,,,,,,,23.25,2.90625,59.66666667,8,1
Stormzy - Gang Signs & Prayer,94,grime,,,11,,14,,,,,35,,37,,43,,,,18,,,,,,4,,,31,,,,,,,,,,24.13,3.015625,59.92592593,8,1
Kelly Lee Owens - Kelly Lee Owens,152,tech house,,,,,25,,2,,,23,,,2,,,,,30,,,33,,,5,,,,,,,,,,,,,17.14,2.448979592,60,7,3
Sheer Mag - Need To Fell Your Love,65,power pop,,22,,6,21,,,,,,,28,,11,,,29,,,,,,14,,,,,,,,,,,,,,18.71,2.673469388,60.40740741,7,1
Jason Isbell & The 400 Unit - The Nashville Sound,64,americana,,21,,12,,27,,,,,,,,,,49,11,,,18,,7,,,,,,,,,,,,,,,20.71,2.959183673,60.92592593,7,1
Japanese Breakfast - Soft Sounds From Another Planet,82,dream pop,,39,,37,,,,,,24,,,,,,17,15,,,50,,,,47,,23,44,,,,,,,,,,32.89,3.654320988,60.96296296,9,0
Lana Del Rey - Lust For Life,69,dream pop,,26,39,,8,,,,,,46,2,50,19,,,,,,,32,,,,,,,,,,,,,,,,27.75,3.46875,61,8,2
Priests - Nothing Feels Natural,130,post-punk,,,,21,,,,,,42,,27,,,,3,,,,,25,44,18,,,,48,,,,,,,,,,28.50,3.5625,61.22222222,8,1
Fleet Foxes - Crack-Up,113,folk,,,41,40,,,,30,41,45,,,,,,,8,,,16,39,,46,,,,,,,,,,,,,,34.00,3.777777778,61.33333333,9,1
Queens of the Stone Age - Villains,21,alternative rock,21,8,9,,35,3,34,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,22.43,3.204081633,61.37037037,7,3
Aldous Harding - Party,1,folk,1,,,,,10,,,,18,,43,4,,,,,,,,,10,,,,,,,,,,,,,,,14.33,2.388888889,61.51851852,6,4
Future - HNDRXX,210,hip hop,,,,,,,,15,,,4,,,12,,,,,,,27,,27,,,,5,,,,,,,,,,15.00,2.5,61.66666667,6,2
(Sandy) Alex G - Rocket,159,indie rock,,,,,40,,,26,,,,30,,20,,21,46,,,,48,,,,,16,,,,,,,,,,,30.88,3.859375,61.92592593,8,0
Drake - More Life,70,hip hop,,27,,,,,,,,,10,19,,7,,,25,,,,38,,49,,,,,,,,,,,,,,25.00,3.571428571,62.03703704,7,2
Laurel Halo - Dust,300,ambient pop,,,,,,,,,,,,,5,,,,,8,31,,46,,,,7,,6,,,,,,,,,,17.17,2.861111111,62.14814815,6,4
The xx - I See You,96,indie pop,,,17,28,46,,,,50,36,,,,,,,37,,,7,40,,,,,,,,,,,,,,,,32.63,4.078125,62.44444444,8,1
Alvvays - Antisocialites,122,indie pop,,,,7,17,,,,,44,,,16,,,31,,,,44,,32,,,,,,,,,,,,,,,27.29,3.897959184,62.62962963,7,1
