ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Pusha-T - Daytona,31,Hip Hop,31,,12,7,5,,,15,11,19,4,1,19,18,11,17,,18,5,8,7,1,30,3,2,,,19,8,2,,17,,11.60,0.464,25.46875,25,12,2
Mitski - Be The Cowboy,23,Indie Rock,23,,,6,1,1,2,,10,39,11,,7,8,34,1,38,,9,2,14,3,2,,4,,41,16,18,1,,5,,12.33,0.5138888889,28,24,15,4
Janelle Monae - Dirty Computer,53,Art Pop,,6,4,14,2,49,1,11,38,4,5,13,43,3,5,,4,,36,36,13,,,,,,2,8,,37,,3,,15.32,0.6962809917,33.96875,22,12,1
Low - Double Negative,50,Ambient Pop,50,1,19,9,,18,17,8,8,,,,47,1,,8,22,10,,7,,14,,,,49,3,21,7,6,11,9,,15.68,0.7128099174,34.21875,22,12,2
Robyn - Honey,113,Electropop,,,,19,12,17,7,,12,11,12,24,36,2,6,4,11,,11,9,45,,,,33,,14,4,,32,,2,,15.38,0.7324263039,35.875,21,7,0
Kacey Musgraves - Golden Hour,92,Country Pop,,,23,44,9,31,3,,1,2,3,36,,,2,2,2,,,3,2,21,47,5,,,,12,,24,,8,,14.00,0.7,36.875,20,12,1
Cardi B - Invasion of Privacy,137,Trap Rap,,,,,8,6,6,,4,8,2,10,11,,13,19,42,,8,21,1,35,,,45,20,,46,,,,4,,16.26,0.8559556787,40.125,19,10,1
Noname - Room 25,121,Hip Hop,,,,32,18,40,5,,23,6,22,19,,,17,15,9,38,,19,27,5,38,,26,,,,,4,,14,,19.84,1.04432133,42.25,19,5,0
SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES,163,Post-Industrial,,,,,,3,,28,49,,,,1,6,31,18,13,,23,47,,2,,,3,23,25,42,1,,2,11,,18.22,1.012345679,43.0625,18,7,2
Idles - Joy as an Act of Resistance,3,Post-Punk,3,27,6,25,,4,,,,,,,5,7,,,3,,3,,,11,,,,,1,7,,14,,6,,8.71,0.6224489796,46,14,10,1
Snail Mail - Lush,106,Indie Rock,,,,5,22,22,49,,2,33,25,,32,,4,5,,,14,14,26,,12,1,,,,,,,,36,,18.88,1.1796875,46.9375,16,5,1
Christine and the Queens - Chris,56,Synthpop,,9,5,,6,14,21,,,,20,,16,4,,30,17,,10,27,,,,,,,,6,,,,1,,13.29,0.9489795918,48,14,7,1
Parquet Courts - Wide Awake!,40,Art Punk,40,,21,2,,,,,,,,,,17,,,,,17,11,40,39,32,34,1,,15,5,45,17,,23,,22.44,1.40234375,48.71875,16,3,1
US Girls - In a Poem Unlimited,109,Neo-Psychedelia,,,,13,47,,,,26,,,,34,50,30,22,,,,13,23,10,,,14,38,4,26,39,42,49,38,,28.78,1.598765432,49,18,2,0
Kamasi Washington - Heaven and Earth,22,Jazz Fusion,22,21,1,,4,21,18,,34,46,,47,30,,,48,24,,,,,29,,,,,,48,,10,50,7,,27.06,1.591695502,49.53125,17,4,1
Ariana Grande - Sweetener,166,R&B,,,,,,13,22,,3,5,1,4,,,3,11,46,,21,15,5,,,,,,,,,,,20,,13.00,1,49.8125,13,6,1
Tirzah - Devotion,162,Art Pop,,,,,,2,,43,32,49,,,2,,24,13,,21,41,29,,34,,,,13,,,5,,1,33,,22.80,1.52,50.53125,15,4,1
