ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Lana Del Rey - Norman Fucking Rockwell!,5,Art Pop,5,18,9,7,19,46,,1,37,5,1,,3,1,6,8,5,3,,,,,,,,,,,,,,,,10.88,0.6796875,18,16,12,3
Angel Olsen - All Mirrors,1,Art Pop,1,,4,40,2,,3,2,1,26,11,,14,4,15,6,12,8,,,,,,,,,,,,,,,,9.93,0.6622222222,20.77777778,15,9,2
Nick Cave & The Bad Seeds - Ghosteen,114,Singer-Songwriter,,,20,1,15,38,26,7,2,2,22,43,11,28,49,9,8,7,,,,,,,,,,,,,,,,18.00,1.125,24.33333333,16,7,1
FKA twigs - MAGDALENE,60,Art Pop,,39,29,,5,21,37,15,5,,36,40,36,2,19,1,19,1,,,,,,,,,,,,,,,,20.33,1.355555556,29.44444444,15,5,2
Sharon Van Etten - Remind Me Tomorrow,7,Indie Pop,7,,2,24,3,,31,,23,16,38,,27,32,28,,10,12,,,,,,,,,,,,,,,,19.46,1.49704142,34.88888889,13,4,0
Solange - When I Get Home,46,Neo-Soul,46,15,18,17,25,27,,46,8,,39,23,,5,27,18,15,,,,,,,,,,,,,,,,,23.50,1.678571429,34.94444444,14,2,0
Purple Mountains - Purple Mountains,112,Indie Rock,,,23,9,16,,24,3,19,3,15,16,37,10,,,,10,,,,,,,,,,,,,,,,15.42,1.284722222,35.27777778,12,5,0
"Tyler, the Creator - IGOR",91,Neo-Soul,,1,6,,17,,,43,7,,12,21,12,23,7,4,,39,,,,,,,,,,,,,,,,16.00,1.333333333,35.66666667,12,5,1
Weyes Blood - Titanic Rising,110,Art Pop,,,26,13,1,,2,17,11,1,4,,,9,,47,42,38,,,,,,,,,,,,,,,,17.58,1.465277778,36.72222222,12,5,2
Big Thief - U.F.O.F.,119,Indie Folk,,,13,22,24,,,4,17,9,6,,,3,,22,9,9,,,,,,,,,,,,,,,,12.55,1.140495868,36.83333333,11,6,0
"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",87,Electropop,,6,1,,34,50,43,,,41,5,,2,21,2,16,,25,,,,,,,,,,,,,,,,20.50,1.708333333,38.66666667,12,5,1
Brittany Howard - Jaime,115,Psychedelic Soul,,,19,11,6,,,45,,20,23,,15,12,17,,23,37,,,,,,,,,,,,,,,,20.73,1.884297521,41.83333333,11,1,0
Vampire Weekend - Father of the Bride,18,Indie Pop,18,33,8,,20,,,5,,40,40,,7,25,11,,26,,,,,,,,,,,,,,,,,21.18,1.925619835,42.11111111,11,3,0
Lizzo - Cuz I Love You,33,Pop Soul,33,,7,27,9,23,,,,48,8,,6,,4,,7,,,,,,,,,,,,,,,,,17.20,1.72,42.88888889,10,6,0
"Bon Iver - i,i",50,Art Pop,50,,17,47,31,,,39,40,15,7,,21,16,,,18,,,,,,,,,,,,,,,,,27.36,2.487603306,45.88888889,11,1,0
"Ariana Grande - thank u, next",90,R&B,,3,5,,27,,,34,,,2,,1,29,1,,,,,,,,,,,,,,,,,,,12.75,1.59375,47.33333333,8,5,2
Jamila Woods - LEGACY! LEGACY!,23,Alternative R&B,23,,3,,30,,,37,15,,,,25,11,36,,,6,,,,,,,,,,,,,,,,20.67,2.296296296,47.83333333,9,2,0
Fontaines D.C. - Dogrel,148,Post Punk,,,,6,14,,1,10,,34,,,,,,40,22,4,,,,,,,,,,,,,,,,16.38,2.046875,48.94444444,8,4,1
