,,inbandcamp,Rank,Artist,Title,Genre,Release Date,Stream,Buy,Spotify Link,cons_score,Albumism,BPM,Billboard,CoS,Complex,Crack,DoubleJ,EsquireUK,Exclaim!,FADER,FarOut,Gigwise,GorillaVsBear,LesInrocks,LineOfBestFit,Louder,Mojo,NBHAP,NME,NPR,Noisey,Paste,Pitchfork,PopMatters,Quietus,RollingStone,RoughTrade,Stereogum,TheAlternative,TheVinylFactory,TheWire,Treble,Uncut,Uproxx
,,,,Artist,Title,Genre,Release Date,Stream,Buy,Spotify Link,cons_score,Albumism,BPM,Billboard,CoS,Complex,Crack,DoubleJ,EsquireUK,Exclaim!,FADER,FarOut,Gigwise,GorillaVsBear,LesInrocks,LineOfBestFit,Louder,Mojo,NBHAP,NME,NPR,Noisey,Paste,Pitchfork,PopMatters,Quietus,RollingStone,RoughTrade,Stereogum,TheAlternative,TheVinylFactory,TheWire,Treble,Uncut,Uproxx
0,Phoebe BridgersPunisher,1,1,Phoebe Bridgers,Punisher,Singer-Songwriter,"June 18, 2020",Spotify,Bandcamp,http://open.spotify.com/album/2xECuqnvvmVktV7UO8Dd3s,20.67647059,13,21,15,3,,10,15,1,3,5,2,15,,,4,12,9,1,5,4,22,14,4,1,,10,2,28,14,,,2,3,15
1,Fiona AppleFetch the Bolt Cutters,1,2,Fiona Apple,Fetch the Bolt Cutters,Art Pop,"April 17, 2020",Spotify,,http://open.spotify.com/album/0fO1KemWL2uCCQmM22iKlj,22.20588235,9,5,7,1,27,39,2,21,2,28,7,,,,11,9,2,41,11,2,5,1,1,2,,2,,1,12,,28,5,22,2
2,Run the JewelsRTJ4,1,3,Run the Jewels,RTJ4,Hip Hop,"June 3, 2020",Spotify,,http://open.spotify.com/album/0DLkBrivkPhPGeSowPUyde,28.58823529,16,,14,2,25,,1,6,4,,3,5,,,10,15,8,8,1,15,,3,16,6,,6,25,3,13,,,4,,13
3,WaxahatcheeSaint Cloud,1,4,Waxahatchee,Saint Cloud,Alt-Country,"March 27, 2020",Spotify,Bandcamp,http://open.spotify.com/album/04HMMwLmjkftjWy7xc6Bho,35.64705882,,36,,6,,36,6,2,18,38,5,26,,,12,,,,,47,9,2,2,9,,7,18,2,10,,,8,6,7
4,Yves TumorHeaven To A Tortured Mind,1,5,Yves Tumor,Heaven To A Tortured Mind,Neo-Psychedelia,"April 3, 2020",Spotify,Bandcamp,http://open.spotify.com/album/5wnCTZtzIZxasRSHzI1JeW,41.38235294,,13,,17,,4,,20,8,6,,18,,17,8,,,,,,8,20,7,5,,,21,13,,2,,3,,17
5,Dua LipaFuture Nostalgia,1,6,Dua Lipa,Future Nostalgia,Dance Pop,"March 27, 2020",Spotify,,http://open.spotify.com/album/7fJJK56U9fHixgO0HQkhtI,41.44117647,11,,2,5,34,5,,23,46,,,14,21,,40,,37,,3,14,34,,21,11,40,5,,50,,13,,,,5
6,Perfume GeniusSet My Heart on Fire Immediately,1,7,Perfume Genius,Set My Heart on Fire Immediately,Art Pop,"May 15, 2020",Spotify,Bandcamp,http://open.spotify.com/album/6daEdTBi1hyFQgmsnR7oRr,42.41176471,,2,26,4,,17,,3,,,10,2,,,7,,,10,,35,30,5,5,18,21,,,15,,,,6,,26
7,Taylor Swiftfolklore,1,8,Taylor Swift,folklore,Singer-Songwriter,"July 24, 2020",Spotify,,http://open.spotify.com/album/0xS0iOtxQRoJvfcFcJA5Gv,45.52941176,5,,1,27,13,,,18,22,,,3,,,32,,31,23,2,,,,29,17,,1,,5,43,,,,,1
8,HAIMWomen in Music Pt. III,1,9,HAIM,Women in Music Pt. III,Indie Pop,"June 26, 2020",Spotify,,http://open.spotify.com/album/4qNGDMsRNqDQZPkTWyyeRF,45.85294118,,,10,,,,,9,6,3,49,7,,,48,,39,14,8,11,,42,8,4,,14,,4,,,,,,8
