ALBUM,ID,genre,CMPLX,EXCLM,GIGW,GVSB,LTW,MOJO,NPR,PASTE,QTUS,ROUGH,UNCUT,BLBRD,CRACK,SGUM,RS,NBHAP,TRBLE,PFORK,ALBISM,SLANT,WIRE,POPMT,LoBF,FROUT,GODTV,NME,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Little Simz - Sometimes I Might Be Introvert,51,Hip Hop,,1,8,,3,28,2,4,27,3,21,19,,,36,1,17,29,1,23,,1,1,8,4,2,,,,,,,,11.38,0.5419501134,23.61538462,21,13,5
"Tyler, the Creator - CALL ME IF YOU GET LOST",1,Hip Hop,1,4,26,29,,47,13,6,,,,2,31,16,4,7,,3,,14,,,16,19,,5,,,,,,,,14.29,0.8408304498,35.30769231,17,8,1
Japanese Breakfast - Jubilee,68,Indie,,20,,,,,11,5,47,15,,16,,5,10,11,2,14,,1,,30,3,2,2,,,,,,,,,12.13,0.7578125,36.30769231,16,8,1
"Floating Points, Pharoah Sanders & The LSO - Promises",56,Classical,,7,,,,1,6,1,,18,2,,10,12,,,5,4,4,,3,2,,11,,,,,,,,,,6.14,0.4387755102,37.92307692,14,11,2
Dry Cleaning - New Long Leg,93,Post-Punk,,49,21,,11,15,,7,41,1,17,,,,24,17,48,10,,38,11,,,1,19,43,,,,,,,,21.94,1.290657439,40.30769231,17,4,2
Low - Hey What,66,Indie,,18,,39,50,4,21,12,,,4,,,4,16,,1,5,,5,4,,,36,44,,,,,,,,,17.53,1.168888889,41.84615385,15,7,1
Arlo Parks - Collapsed In Sunbeams,114,Indie,,,31,,,,8,21,,2,27,15,,,19,10,,,9,,,4,11,13,26,7,,,,,,,,14.50,1.035714286,42.42307692,14,6,0
Mdou Moctar - Afrique Victime,63,Rock,,15,23,,,20,,11,,19,13,,16,,26,,13,8,,22,41,13,21,27,,,,,,,,,,19.20,1.28,42.80769231,15,1,0
The Weather Station - Ignorance,52,Indie,,2,,,,12,,3,4,11,1,,,8,27,,15,7,,,,28,43,32,,,,,,,,,,14.85,1.142011834,44.92307692,13,6,1
Snail Mail - Valentine,57,Indie,,8,,33,,,,10,,,,20,,2,32,29,24,15,,24,,26,12,10,,24,,,,,,,,19.21,1.37244898,44.96153846,14,4,0
