ALBUM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GDINTV,GVSB,GUARD,HOTPRS,KERNG,LINE,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,WEISS,PASTE,PICC,PFORK,POPMT,QTUS,RS,RTRADE,SLANT,SPTNIK,SGUM,STLISTN,TREBLE,UNCUT,UTR,WHYNW,WIRE,XSNZE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Sufjan Stevens - Javelin,33,2,22,3,3,,3,,28,3,8,39,,,22,21,,4,,,31,2,4,11,7,5,19,2,19,6,19,,15,2,2,6,35,2,5,,2,9,,5,,11.74,0.3451557093,26.11363636,34,21,0
"Caroline Polachek - Desire, I Want To Turn Into You",45,3,26,6,2,,5,5,1,1,17,4,2,43,3,,,38,29,,,7,29,6,6,3,,4,15,2,4,,28,3,5,21,11,6,39,,3,,,,,12.79,0.3875114784,28.34090909,33,21,2
boygenius - the record,31,8,2,10,20,,44,48,7,11,,13,7,,15,2,,,18,,17,1,5,1,,4,,18,5,16,3,,2,,11,,5,,,26,7,3,,4,,12.13,0.4044444444,32.13636364,30,17,2
Mitski - The Land is Inhospitable and So Are We,12,15,41,1,6,,9,,33,2,27,2,,,5,5,,6,,,,28,9,9,17,6,,8,,23,29,,7,33,7,,4,,8,,11,39,,20,,14.55,0.501783591,35.15909091,29,16,1
Wednesday - Rat Saw God,2,6,,7,36,,2,,32,6,2,,42,,11,,,2,,,,49,,34,1,2,,1,,4,7,,27,11,6,3,1,3,9,30,9,,,,,12.78,0.4732510288,36.81818182,27,18,3
Lana Del Rey - Did you know that there's a tunnel...,6,12,9,9,12,,25,36,,16,3,11,,18,6,3,,,,,6,11,10,23,,9,,24,,11,28,,21,,1,,,,,6,16,17,,18,,13.59,0.5034293553,37.31818182,27,11,1
billy woods & Kenny Segal - Maps,43,10,,2,9,,4,,,7,4,,,3,14,,,8,,,21,,,,2,10,3,23,,3,25,,8,,47,5,3,7,2,,46,,24,,,13.32,0.5328,39.95454545,25,17,0
JPEGMAFIA & Danny Brown - SCARING THE HOES,30,18,48,15,16,,40,12,,5,5,,,11,34,,,10,,,,16,,15,4,27,2,38,,,,,19,22,,1,14,1,22,,32,,,,,18.28,0.7312,42.77272727,25,7,2
ANOHNI and the Johnsons - My Back Was A Bridge For You To Cross,,4,44,18,17,,24,8,12,,28,32,,,12,,,49,,,26,5,28,,,28,1,9,,9,,,17,36,17,,,9,10,38,,,19,,,20.00,0.8,43.75,25,8,1
Olivia Rodrigo - GUTS,17,,1,25,11,,28,,,18,,,,12,10,18,,50,37,,,6,35,2,,22,,15,,14,39,,5,,12,,2,,,,10,37,,,,18.52,0.8052930057,45.47727273,23,7,1
Jessie Ware - That! Feels! Good!,,20,,46,,,19,,15,,,21,,,4,,,,,,,9,1,20,14,26,,33,,22,1,,18,,3,36,21,,15,,5,,,,,17.45,0.8725,48.84090909,20,6,2
Young Fathers - Heavy Heavy,,,,,5,,33,,,,,,40,,2,,,3,30,,5,34,3,3,18,19,,37,,,5,,,5,44,10,,,,,40,,,9,,18.16,0.9556786704,50.45454545,19,10,0
Slowdive - everything is alive,,33,,22,26,,18,,45,,,9,37,,45,38,,35,,,39,36,43,,,39,,,1,,20,,,31,,,24,,25,12,6,,,21,,27.50,1.25,51.25,22,3,1
PJ Harvey - I Inside the Old Year Dying,,21,,,28,,50,25,,,,,44,,29,,,25,14,,2,,20,,,21,,44,34,,,2,,,18,,,32,31,4,,12,,2,,22.90,1.145,51.31818182,20,4,0
Kelela - Raven,,1,15,,14,43,13,39,,13,42,,,,19,,,17,,,,21,,,,,11,16,,17,,41,,,8,,26,,14,,,36,,,,21.37,1.12465374,51.84090909,19,2,1
Lankum - False Lankum,49,,,,33,,,13,,,,,13,,1,12,,33,,,3,30,2,,,17,,,,,,1,,4,35,18,,,,1,,,,6,,15.94,0.937716263,52.18181818,17,7,3
Yves Tumor - Praise A Lord Who Chews But Which Does Not Consume,,16,,24,27,,1,,,22,12,10,,,16,,,,,,,31,18,17,13,25,,21,,31,,,,,27,,32,,7,,,,,,,19.44,1.080246914,52.27272727,18,3,1
Fever Ray - Radical Romantics,,7,,5,34,,,22,,40,11,,45,39,41,,,18,,,,46,22,,,24,,,,8,,,,39,,,19,29,26,,,,28,23,,26.30,1.315,52.86363636,20,3,0
Julie Byrne - The Greater Wings,,22,,8,10,,,,,27,19,43,34,28,25,,,15,,,10,,24,,,,,6,,21,,,,28,,,44,16,,9,,,,,,21.61,1.200617284,53.15909091,18,5,0
Blur - The Ballad of Darren,,,,,44,,,,,,,,4,,8,11,,,49,,1,37,16,10,,43,,,44,,,,,,20,,,,,13,30,13,,1,,21.50,1.34375,55.54545455,16,5,2
Yo La Tengo - This Stupid World,13,13,,,,,,,,,,12,,,43,,,,21,,25,,26,,27,32,50,50,,38,,,49,,38,,,,40,5,25,,1,,,28.22,1.567901235,55.86363636,18,2,1
Noname - Sundial,,,,13,45,12,21,24,11,,34,,,,17,,,7,,,,,,,,,,25,,13,14,,13,,,,,26,,,,,18,,,19.53,1.302222222,56.09090909,15,1,0
Grian Chatten - Chaos For The Fly,,,,,,,,,,,,6,3,,33,9,,47,,,14,3,6,,,,,,7,,,,,10,,,,33,,,38,10,,16,,16.79,1.198979592,56.47727273,14,8,0
Ratboys - The Window,7,,,33,,,11,,,8,,,,,,,,24,,,,,,,36,12,,5,,,49,,,,13,,6,,1,,1,,,33,,17.07,1.219387755,56.56818182,14,6,2
Amaarae - Fountain Baby,,,,35,4,34,,11,,43,6,,,,9,,,5,,,,,,8,,,6,,,7,,,26,,4,,,,,,,,,,,15.23,1.171597633,57.34090909,13,8,0
Sofia Kourtesis - Madres,,19,31,,25,,,,41,25,,,,9,18,,,,,,,,17,7,,,8,10,,24,12,,,,,,,27,,,,,,,,19.50,1.392857143,57.34090909,14,4,0
Armand Hammer - We Buy Diabetic Test Strips,36,14,,2,24,,,47,,,,,,23,,,,,,,,,,,,33,3,46,,,23,,,8,34,,,19,4,,,,,,,22.57,1.612244898,58.31818182,14,4,0
Kara Jackson - Why Does The Earth Give Us People to Love?,,,,44,7,,26,30,,,47,,35,,31,,,1,,,,,,,44,,,12,,19,,,40,,43,,,4,,,,,,,,27.36,1.954081633,59.84090909,14,3,1
L'Rain - I Killed Your Dog,,24,,,21,,41,44,,,,,,,,,,20,,,,,19,,28,46,,7,,12,,22,47,,,,,31,23,,,,,,,27.50,1.964285714,59.88636364,14,1,0
Earl Sweatshirt & The Alchemist - Voir Dire,,50,,,13,21,30,,,20,,,,,,50,,,,,,,,26,,,13,,,,34,,,,,38,12,37,18,,,25,,,,27.64,1.974489796,59.93181818,14,0,0
