ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Charli xcx - Brat,,,8,2,1,6,1,1,15,2,2,2,1,1,2,1,3,3,16,4,15,5,,8,,2,1,17,2,1,1,2,29,3,1,3,1,1,,,,,,,,,4.79,0.1410034602,12.18421053,34,29,12
Fontaines D.C. - Romance,7,13,13,39,2,13,,28,,18,,16,2,10,21,33,6,4,,2,1,6,,11,6,1,4,9,,5,,7,,1,7,1,,,,,,,,,,,10.21,0.3647959184,27.26315789,28,18,4
Waxahatchee - Tigers Blood,30,10,25,3,3,2,10,4,,,32,26,35,3,5,21,12,19,,,2,7,,20,,6,26,8,6,9,5,9,,40,18,,,38,,,,,,,,,14.97,0.5160523187,29.18421053,29,16,0
The Cure - Songs of a Lost World,31,,23,28,20,11,48,29,,,6,,6,,6,50,8,6,,,45,2,,47,2,3,2,15,,12,7,3,,21,11,6,19,3,,,,,,,,,16.79,0.5994897959,32.10526316,28,13,0
MJ Lenderman - Manning Fireworks,,8,24,11,18,7,3,2,,,4,7,14,9,29,38,2,9,,25,3,24,,2,,,,19,4,11,14,11,,,13,,,,,,,,,,,,12.44,0.4976,33.84210526,25,12,0
Cindy Lee - Diamond Jubilee,,9,,1,25,3,15,8,,3,8,28,11,,1,,4,,,1,,21,,3,,,,10,1,3,13,,6,,2,,26,50,,,,,,,,,10.96,0.4763705104,36.23684211,23,15,4
Kim Gordon - The Collective,10,30,37,35,,,26,24,50,14,21,15,,,15,,23,27,,16,49,22,,,32,32,21,31,10,6,45,13,8,,10,31,,,,,,,,,,,24.19,0.8957475995,38.89473684,27,5,0
"Tyler, the Creator - Chromakopia",,,,9,14,14,17,12,,15,17,,44,,,7,7,2,2,10,,12,,19,,10,,34,,16,,48,,15,8,,5,,,,,,,,,,15.32,0.6962809917,40.44736842,22,9,0
Mannequin Pussy - I Got Heaven,,,,6,22,28,22,25,,,1,3,,8,7,43,1,,,,25,1,35,5,,,14,7,11,,11,19,44,,,,4,,,,,,,,,,15.55,0.7066115702,40.57894737,22,10,3
Adrianne Lenker - Bright Future,35,6,21,24,,16,,19,,,12,,22,,3,,22,5,,22,13,15,,,,12,16,29,23,,2,,,5,47,,,22,,,,,,,,,17.77,0.8078512397,41.86842105,22,5,0
Jessica Pratt - Here in the Pitch,36,5,,27,,1,18,6,,,7,,,,4,,10,11,,26,,25,,36,,,18,27,3,21,18,16,,,41,37,33,,,,,,,,,,19.36,0.8801652893,42.78947368,22,7,1
Magdalena Bay - Imaginal Disk,,,18,15,29,26,,5,,1,10,,5,18,38,,20,12,,42,,13,,12,,,,5,19,42,10,,,,,,7,34,,,,,,,,,18.14,0.8639455782,43.57894737,21,7,1
Kendrick Lamar - GNX,,,,16,10,19,21,3,43,19,,,12,19,14,4,9,16,1,,17,3,,9,,,,,,,34,,,,,,,18,,,,,,,,,15.11,0.7950138504,45.05263158,19,7,1
Clairo - Charm,,,16,30,,,13,,17,13,,38,17,,27,15,,10,,,,11,,,,22,,16,21,,43,,,10,4,9,20,,,,,,,,,,18.53,0.9750692521,46.76315789,19,4,0
Beth Gibbons - Lives Outgrown,3,3,44,,,15,,,,,,,26,,25,,13,,,34,16,31,,16,,24,6,42,,24,16,21,,,,5,47,43,,,,,,,,,22.70,1.135,47.47368421,20,4,0
Billie Eilish - Hit Me Hard and Soft,,,,,41,,5,,,,,,9,,43,5,,35,5,,,4,,,,7,12,,,,3,,,4,3,8,2,25,,,,,,,,,13.19,0.82421875,48.97368421,16,11,0
