ALBUM,CONS,EXCL,LINE,MOJO,PASTE,PFORK,QTUS,RS,RT,SGUM,TREBLE,UNCUT,WIRE,CMPLX,LTW,NME,BLBRD,CRACK,DORK,DBLJ,ERMLK,FADER,FLOOD,KRNG,MONDO,NORIP,POPMT,SLANT,NT,,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Geese - Getting Killed,2,2,3,32,3,7,,5,4,1,13,29,,,,1,16,8,5,12,13,,2,,2,,4,4,1,,,,,,,,,,,,,,,,,7.68,0.3491735537,23.93103448,22,16,3
Rosalía - Lux,1,9,2,,17,16,33,3,,4,,,,20,37,7,2,5,7,14,1,3,1,,,,1,10,9,,,,,,,,,,,,,,,,,9.62,0.4580498866,27.65517241,21,15,4
Wednesday - Bleeds,12,6,24,,18,6,,8,,2,4,4,,,,42,,,,15,30,,8,,21,12,5,17,10,,,,,,,,,,,,,,,,,13.56,0.7530864198,36.86206897,18,9,0
Clipse - Let God Sort Em Out,3,11,20,,,,,6,21,,7,,,3,,25,4,,,9,26,10,3,,,6,19,14,3,,,,,,,,,,,,,,,,,11.18,0.6574394464,37.5862069,17,10,0
Hayley Williams - Ego Death At a Bachelorette Party,36,7,6,,20,,,9,10,32,,,,,,9,36,,1,41,4,,6,4,35,,10,46,6,,,,,,,,,,,,,,,,,17.67,0.9814814815,39.4137931,18,11,1
Oklou - Choke Enough,,17,8,,6,4,,47,2,3,,,7,,,6,41,1,44,,16,20,28,,22,,,16,36,,,,,,,,,,,,,,,,,18.00,1,39.62068966,18,8,1
FKA twigs - Eusexua,4,28,27,,39,42,,11,,44,3,,,43,,3,27,34,18,8,19,,,,19,,8,1,50,,,,,,,,,,,,,,,,,22.53,1.185595568,40.62068966,19,6,1
Turnstile - Never Enough,18,4,41,,,,,31,5,18,41,,,,,8,10,19,3,24,37,,26,1,1,,,,8,,,,,,,,,,,,,,,,,17.35,1.020761246,41.20689655,17,8,2
Bad Bunny - Debí Tirar Más Fotos,29,27,11,,37,5,,1,,35,,,,1,,5,1,,,,5,4,20,,9,,2,29,,,,,,,,,,,,,,,,,,13.81,0.86328125,41.24137931,16,9,3
Dijon - Baby,27,13,,,5,2,,4,,9,,,,27,,33,17,12,26,,,13,5,,26,,,8,13,,,,,,,,,,,,,,,,,15.00,0.9375,41.89655172,16,6,0
Billy Woods - Golliwog,11,42,12,,14,21,34,17,,7,1,,2,31,,,,,,,,19,17,,,43,7,35,7,,,,,,,,,,,,,,,,,18.82,1.107266436,42.06896552,17,5,1
PinkPantheress - Fancy That,47,3,15,,,18,,23,,12,,,,9,,10,7,,19,,2,,7,,29,,3,18,,,,,,,,,,,,,,,,,,14.80,0.9866666667,43.86206897,15,7,0
Blood Orange - Essex Honey,9,25,,,46,24,,,,45,,49,,,,15,24,20,39,48,11,37,,,8,,34,45,4,,,,,,,,,,,,,,,,,28.41,1.671280277,47.68965517,17,3,0
Deftones - Private Music,20,31,35,,,,,,,31,8,,,,,21,34,,47,11,,,13,2,5,,15,,29,,,,,,,,,,,,,,,,,21.57,1.540816327,49.20689655,14,3,0
CMAT - Euro-Country,,,,3,4,,,,13,,,,,,9,4,,,2,5,,,43,,,19,25,30,15,,,,,,,,,,,,,,,,,14.33,1.194444444,49.89655172,12,6,0
Nourished By Time - The Passionate Ones,25,32,14,,1,9,18,42,,22,26,,,,,28,,,,,18,,,,,33,,,2,,,,,,,,,,,,,,,,,20.77,1.597633136,50.68965517,13,3,1
Pulp - More,,,,1,,,,41,3,,,1,,,15,16,,,23,36,,,10,,13,,32,,37,,,,,,,,,,,,,,,,,19.00,1.583333333,51.82758621,12,4,2
Addison Rae - Addison,,50,50,,45,12,,12,,17,,,,,,2,11,,6,,,1,,,,,18,5,,,,,,,,,,,,,,,,,,19.08,1.590277778,51.86206897,12,4,1
Little Simz - Lotus,32,,36,13,,,,45,42,,,11,,30,,,,,41,1,34,,33,,11,20,38,,,,,,,,,,,,,,,,,,,27.64,1.974489796,52.13793103,14,1,1
Caroline - Caroline 2,,,16,,,28,12,,9,13,,14,11,,,,,27,,,,,,,47,,,11,31,,,,,,,,,,,,,,,,,19.91,1.809917355,54.10344828,11,1,0
Sudan Archives - The BPM,,,,,21,13,,,,30,9,3,,,,,,,,,,45,9,,,,26,7,40,,,,,,,,,,,,,,,,,20.30,2.03,56.13793103,10,4,0
Jim Legxacy - Black British Music,,,4,,25,,41,38,,,,,,5,,14,21,4,37,,,18,,,,,,,,,,,,,,,,,,,,,,,,20.70,2.07,56.27586207,10,3,0
Lily Allen - West End Girl,,36,49,,,,,33,,,,,,,,13,12,,20,2,29,6,11,,,,,,,,,,,,,,,,,,,,,,,21.10,2.11,56.4137931,10,2,0
Wet Leg - Moisturizer,,14,,10,,36,,,,,,50,,,18,22,,,9,,,,,,3,,9,,44,,,,,,,,,,,,,,,,,21.50,2.15,56.55172414,10,4,0
Viagra Boys - Viagr Aboys,8,,38,,,,,,1,,31,,,,5,50,,,25,22,,,,,,11,43,,,,,,,,,,,,,,,,,,,23.40,2.34,57.20689655,10,3,1
Earl Sweatshirt - Live Laugh Love,,29,,,,15,,14,,,12,,,12,,,,,,,21,28,12,,,17,,,,,,,,,,,,,,,,,,,,17.78,1.975308642,57.24137931,9,0,0
Deafheaven - Lonely People With Power,5,8,,,,,,,,26,2,,,,,,,,,,,,4,10,,,49,44,18,,,,,,,,,,,,,,,,,18.44,2.049382716,57.44827586,9,5,0
"Bon Iver - Sable, Fable",6,,,34,,,,,12,,,9,,,,,,,22,4,,,,,17,,,,14,,,,,,,,,,,,,,,,,14.75,1.84375,58.37931034,8,3,0
Olivia Dean - The Art of Loving,,12,,,,,,19,,,,,,28,,18,5,,15,,25,47,,,39,,,,,,,,,,,,,,,,,,,,,23.11,2.567901235,58.89655172,9,1,0
Lorde - Virgin,,24,,,,,,30,,23,,,,,,24,14,,,49,10,,,,20,,,22,,,,,,,,,,,,,,,,,,24.00,2.666666667,59.17241379,9,1,0
"Tyler, The Creator - Don't Tap The Glass",13,15,,,,,,,,39,,,,17,,38,8,23,,,,50,32,,,,,,,,,,,,,,,,,,,,,,,26.11,2.901234568,59.82758621,9,1,0
Perfume Genius - Glory,15,23,7,,32,48,,,,,,21,,,,,,,,,,,27,,28,,,39,,,,,,,,,,,,,,,,,,26.67,2.962962963,60,9,1,0
Rochelle Jordan - Through The Wall,30,,,,8,25,,,,,44,,,,,37,,,,34,7,2,,,,,,,,,,,,,,,,,,,,,,,,23.38,2.921875,60.75862069,8,3,0
Los Thuthanaka - Los Thuthanaka,,,,,2,1,,,,14,,,3,,,,,9,,,,,,,,,,12,,,,,,,,,,,,,,,,,,6.83,1.138888889,60.89655172,6,4,1
Cameron Winter - Heavy Metal,14,,,46,16,3,,32,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,16.71,2.387755102,60.93103448,7,3,0
Aya - Hexed!,,,,,12,22,1,,,25,,,1,,,,,18,,,,,,,,,,47,,,,,,,,,,,,,,,,,,18.00,2.571428571,61.24137931,7,2,2
Florence + The Machine - Everybody Scream,50,,,,,,,25,,,,,,,4,27,29,,,20,,,,,16,,31,,,,,,,,,,,,,,,,,,,25.25,3.15625,61.27586207,8,1,0
