artist_key,artist_name,genres
cd5799f6-e6cf-4322-a659-96f5de4a2f6c,Altın Gün,psychedelic rock
d5cc67b8-1cc4-453b-96e8-44487acdebea,Beach House,ballad|chillout|dream pop|ethereal wave|indie pop|indie rock|lo-fi|pop|pop rock|rock
69158f97-4c07-4c4e-baf8-4e4ab1ed666e,Boards of Canada,ambient|ambient techno|breakbeat|chillout|dark wave|detroit techno|downtempo|drone|electroacoustic|electronic|folktronica|glitch|hauntology|idm|illbient|leftfield|neo-psychedelia|post-industrial|progressive electronic|space ambient|synthwave
aaae25bf-c794-45d7-bab7-cdc7c655bfa6,Broadcast,alternative rock|ambient|chillout|downtempo|easy listening|electronic|electronic rock|experimental|indie pop|indie rock|indietronica|leftfield|punk|rock
37e3dd97-73f9-4c69-b50d-0c0e3c47c40c,Catherine Wheel,alternative rock|chillout|indie rock|noise pop|punk|rock|shoegaze
d4659efb-b8eb-4f03-95e9-f69ce35967a9,David Byrne,alternative rock|art rock|new wave|pop|post-punk|rock|singer-songwriter
8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,alternative dance|alternative rock|dance-rock|dark wave|downtempo|ebm|electro|electronic|electronica|electropop|instrumental|leftfield|new wave|pop|post-punk|rock|synth-pop
4b585938-f271-45e2-b19a-91c634b5e396,Kate Bush,alternative pop|alternative rock|ambient pop|art pop|art rock|folk rock|pop|pop rock|progressive pop|rock|singer-songwriter
2aaf7396-6ab8-40f3-9776-a41c42c8e26b,LCD Soundsystem,dance|dance-punk|disco|electro|electronic|indietronica|krautrock|leftfield|new rave|post-punk revival
1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,Little Stevie Wonder,contemporary r&b|disco|downtempo|funk|house|jazz|jazz fusion|motown|pop|r&b|rock|soul
4173ee0d-e003-496a-98eb-a2eaa90cb3f7,Nilüfer Yanya,indie rock|post-punk
2e222fce-02ae-4221-b1c6-3c3242b423b6,ODESZA,ambient|chillwave|electronic|electronica|experimental|pop
ad82dd72-0df3-4a09-8d7a-1af9c9e80522,Patsy Cline,classic country|country
83b9cbe7-9857-49e2-ab8e-b57b01038103,Pearl Jam,alternative rock|grunge|rock
c4ff10e0-ae5a-467d-a409-6e0b4bf241eb,Perfume Genius,art pop|glam rock|indie pop|noise pop
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,arena rock|art rock|classic rock|electronic|experimental|freestyle|hip hop|piano rock|pop|progressive rock|psychedelic|psychedelic rock|rock|rock opera|symphonic rock|trance|turntablism
cca40a67-e959-46f8-a3f3-8a3f77d2da9e,Russian Circles,alternative rock|death metal|instrumental|math rock|metal|post-metal|post-rock|rock
ff9542ca-7859-4db2-8796-c1e3c39b9c0a,Shuggie Otis,funk|psychedelic soul|r&b|soul
2869c510-2679-4a3f-bf15-e5e8b49f2f28,Slint,experimental rock|indie rock|math rock|post-rock|rock
e01c3376-15fa-40d7-b747-5f219bdefdd7,Steely Dan,classic rock|jazz|jazz fusion|jazz rock|pop|pop rock|rock
1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,Stevie Wonder,contemporary r&b|disco|downtempo|funk|house|jazz|jazz fusion|motown|pop|r&b|rock|soul
c842d29f-a297-48cd-bb71-4f77fd672b16,T. Rex,folk rock|glam rock|hard rock|proto-punk
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,beat music|britpop|classic rock|hard rock|pop|pop rock|psychedelic|psychedelic rock|rock|rock and roll
f46bd570-5768-462e-b84c-c7c993bbf47e,The Eagles,classic rock|country rock|instrumental|pop|rock|soft rock
1f43d76f-8edf-44f6-aaf1-b65f05ad9402,The Flaming Lips,acid rock|alternative rock|electronic|experimental|indie rock|noise|psychedelic rock|punk|rock|space rock
1ac3366a-a0e9-4a55-8f6e-796fce32a3b2,The Righteous Brothers,pop|soft rock
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,indie pop|indie rock|jangle pop|new wave|rock
044fd265-79dd-43eb-afc4-8b20becf7e17,Thundercat,funktronica|hip hop|jazz|jazz fusion|jazz pop|neo soul|psychedelic soul
c7ee3bc9-780c-42c0-91e9-4cd70ad692d3,Tim Hecker,ambient|downtempo|drone|electronic|experimental|glitch|idm|trance
9df0c0ec-619e-447d-a155-23e19d9c84ce,Viagra Boys,alternative rock|dance-punk|post-punk
d922d727-240a-4432-9a88-05a7cf9bc403,Wings,arena rock|classic rock|pop|pop rock|rock|soft rock
584c04d2-4acc-491b-8a0a-e63133f4bfc4,Yeah Yeah Yeahs,alternative rock|dream pop|indie pop|indie rock|pop rock|rock

