scenario,rank,current_rank,change,station,slug,score,underground_percentile,new_music_percentile,critical_percentile
Balanced underground/new/acclaim,1,2,1,KEXP 90.3 FM,kexp,0.9673956984896992,1.0,1.0,0.96
Balanced underground/new/acclaim,2,4,2,Yammat FM,yammat-fm,0.9602686637145874,0.976,0.976,1.0
Balanced underground/new/acclaim,3,5,2,HEADY,heady,0.9580922502428603,0.992,0.968,0.984
Balanced underground/new/acclaim,4,1,-3,KALX 90.7 FM,kalx,0.9328968387217503,0.968,0.96,0.88
Balanced underground/new/acclaim,5,9,4,KVSC 88.1 FM,kvsc,0.9261873156250668,0.928,0.984,0.976
Balanced underground/new/acclaim,6,6,0,FIP Rock,fip-rock,0.922613775054355,0.96,0.928,0.912
Balanced underground/new/acclaim,7,11,4,Radyo A (Radyo Anadolu Üniversitesi),radyo-a-radyo-anadolu-niversitesi,0.91110505109298,0.936,0.944,0.968
Balanced underground/new/acclaim,8,3,-5,NEU RADIO,neu-radio,0.9060005729789841,0.984,0.792,0.944
Balanced underground/new/acclaim,9,7,-2,Super45.fm,super45-fm,0.8982034425159464,0.952,0.84,0.952
Balanced underground/new/acclaim,10,13,3,KXLU 88.9 FM,kxlu,0.8745363263603785,0.912,0.936,0.864
Balanced underground/new/acclaim,11,12,1,WPKN 89.5 FM,wpkn,0.8665805033704312,0.904,0.872,0.904
Balanced underground/new/acclaim,12,15,3,"WTMD 89.7 Towson University, MD",wtmd-89-7-towson-university-md,0.8660076084736849,0.92,0.92,0.872
Balanced underground/new/acclaim,13,10,-3,WXYC 89.3 FM,wxyc,0.8575798496007668,0.888,0.76,0.992
Balanced underground/new/acclaim,14,19,5,KCRW — Eclectic 24,kcrw-eclectic24,0.8131527347591094,0.856,0.832,0.92
Balanced underground/new/acclaim,15,17,2,WMFO 91.5 FM,wmfo,0.8122691649962565,0.848,0.912,0.816
Balanced underground/new/acclaim,16,28,12,WLUW 88.7 FM,wluw,0.7201824190655255,0.784,0.816,0.928
Balanced underground/new/acclaim,17,29,12,WHRB 95.3 FM,whrb,0.7109935103446179,0.752,0.904,0.824
Balanced underground/new/acclaim,18,30,12,CJSR 88.5 FM,cjsr,0.7072480621876372,0.76,0.88,0.832
Balanced underground/new/acclaim,19,25,6,WTBU 89.3 FM,wtbu,0.6922933026773821,0.776,0.824,0.752
Balanced underground/new/acclaim,20,18,-2,RadioActive,radioactive,0.6776765490873949,0.864,0.432,0.72
Balanced underground/new/acclaim,21,16,-5,Le Bon Mix Radio 97.9,le-bon-mix-radio-97-9,0.6680132145333204,0.872,0.312,0.76
Balanced underground/new/acclaim,22,26,4,WPRB 103.3 FM,wprb,0.6584589688640828,0.808,0.688,0.712
Balanced underground/new/acclaim,23,22,-1,Radio SAR - Studencka Agencja Radiowa,radio-sar-studencka-agencja-radiowa,0.6537256429689631,0.824,0.808,0.392
Balanced underground/new/acclaim,24,32,8,WICB 91.7 FM,wicb,0.6487521190371582,0.8,0.64,0.784
Balanced underground/new/acclaim,25,20,-5,- 1 A - Relax von 1A Radio,1-a-relax-von-1a-radio,0.6360152739043766,0.88,0.856,0.0
Balanced underground/new/acclaim,26,55,29,SomaFM — CliqHop IDM,somafm-cliqhop,0.6139745038170392,0.56,0.992,0.808
Balanced underground/new/acclaim,27,33,6,Radio Paradise World/ETC Mix 192k MP3,radio-paradise-world-etc-mix-192k-mp3,0.5953539564447689,0.768,0.8,0.376
Balanced underground/new/acclaim,28,56,28,Culture Failure,culture-failure,0.5935117831635061,0.536,0.952,0.792
Balanced underground/new/acclaim,29,21,-8,BBC 6 Music,bbc-6music,0.5933276824055906,0.84,0.048,0.936
Balanced underground/new/acclaim,30,52,22,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,0.591586368827956,0.624,0.784,0.856
Balanced underground/new/acclaim,31,63,32,FIP Electro,fip-electro,0.5795010607767823,0.544,0.888,0.8
