name,slug,current_score,exact_7d,artist_7d,artist_facts,recording_mbids
KALX 90.7 FM,kalx,0.905987354887001,3,5,"[{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3777484,""canonical"":true,""recording"":""166cff6e-96c8-496f-b29f-2be998db273d""},{""key"":""c8d60780-4293-43e2-8e9e-3532a430d748"",""name"":""The Claypool Lennon Delirium"",""spinId"":3839726,""canonical"":true,""recording"":""183dd00e-66f2-4cae-a709-35f2d40e75c7""},{""key"":""cd5799f6-e6cf-4322-a659-96f5de4a2f6c"",""name"":""Altın Gün"",""spinId"":3829813,""canonical"":true,""recording"":""258e3529-4f4a-452f-b624-6ac3a4b62d6d""},{""key"":""cd5799f6-e6cf-4322-a659-96f5de4a2f6c"",""name"":""Altın Gün"",""spinId"":3829687,""canonical"":true,""recording"":""258e3529-4f4a-452f-b624-6ac3a4b62d6d""},{""key"":""aaae25bf-c794-45d7-bab7-cdc7c655bfa6"",""name"":""Broadcast"",""spinId"":3759203,""canonical"":true,""recording"":""3a9217b3-eedf-4c86-97a0-44b77c511bed""},{""key"":""7682d624-9e0b-45b2-b7d0-d1b18b3ebd05"",""name"":""Vieux Farka Touré"",""spinId"":3845032,""canonical"":true,""recording"":""545d6896-0933-4337-9f0e-1d8156a6f174""},{""key"":""69158f97-4c07-4c4e-baf8-4e4ab1ed666e"",""name"":""Boards of Canada"",""spinId"":3825148,""canonical"":true,""recording"":""5ce7e73e-07e8-43c2-b26b-f8cd4a02b135""},{""key"":""69158f97-4c07-4c4e-baf8-4e4ab1ed666e"",""name"":""Boards of Canada"",""spinId"":3825022,""canonical"":true,""recording"":""5ce7e73e-07e8-43c2-b26b-f8cd4a02b135""},{""key"":""57976431-1a5c-4968-a422-b92c5e9b0d4f"",""name"":""Glen Campbell"",""spinId"":3652734,""canonical"":true,""recording"":""60f8b235-e70f-4f6c-a2a9-3cd20d0972a1""},{""key"":""5c232cd8-297a-4586-9090-f7cf30466fe2"",""name"":""Terry Reid"",""spinId"":3730476,""canonical"":true,""recording"":""eddc6881-af3e-4cea-bd57-ad1f4e022624""}]","[""166cff6e-96c8-496f-b29f-2be998db273d"",""183dd00e-66f2-4cae-a709-35f2d40e75c7"",""258e3529-4f4a-452f-b624-6ac3a4b62d6d"",""3a9217b3-eedf-4c86-97a0-44b77c511bed"",""545d6896-0933-4337-9f0e-1d8156a6f174"",""5ce7e73e-07e8-43c2-b26b-f8cd4a02b135"",""60f8b235-e70f-4f6c-a2a9-3cd20d0972a1"",""eddc6881-af3e-4cea-bd57-ad1f4e022624""]"
KEXP 90.3 FM,kexp,0.9015827939587969,10,0,"[{""key"":""love"",""name"":""Love"",""spinId"":3691452,""canonical"":false,""recording"":""086fef90-7e9a-42d5-b3cb-47b529cafdbe""},{""key"":""c8d60780-4293-43e2-8e9e-3532a430d748"",""name"":""The Claypool Lennon Delirium"",""spinId"":3691417,""canonical"":true,""recording"":""183dd00e-66f2-4cae-a709-35f2d40e75c7""},{""key"":""37e3dd97-73f9-4c69-b50d-0c0e3c47c40c"",""name"":""Catherine Wheel"",""spinId"":3651581,""canonical"":true,""recording"":""366ccd4a-52c2-4633-9347-aa01fc475a31""},{""key"":""the budos band"",""name"":""The Budos Band"",""spinId"":3661176,""canonical"":false,""recording"":""384fb2f7-a264-4e1a-8d86-ff22f1a538bf""},{""key"":""alex henry foster feat. momoka tobari"",""name"":""Alex Henry Foster feat. Momoka Tobari"",""spinId"":3805733,""canonical"":false,""recording"":""655cf78c-b18d-4910-9bfe-3635319b5ca5""},{""key"":""rosalía"",""name"":""ROSALÍA"",""spinId"":3788121,""canonical"":false,""recording"":""6fb6ba14-288a-4551-ba61-68c63f0a9f83""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3739017,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""mildlife"",""name"":""Mildlife"",""spinId"":3711635,""canonical"":false,""recording"":""9aa5f8f6-963a-4a5a-b243-932faef0518c""},{""key"":""4ba8a084-2772-400f-9738-6736895c965d"",""name"":""Chat Pile"",""spinId"":3747700,""canonical"":true,""recording"":""ca6bee81-2fc0-499a-8105-8c8c45b1c092""}]","[""086fef90-7e9a-42d5-b3cb-47b529cafdbe"",""183dd00e-66f2-4cae-a709-35f2d40e75c7"",""366ccd4a-52c2-4633-9347-aa01fc475a31"",""384fb2f7-a264-4e1a-8d86-ff22f1a538bf"",""655cf78c-b18d-4910-9bfe-3635319b5ca5"",""6fb6ba14-288a-4551-ba61-68c63f0a9f83"",""810d2896-2dce-4620-80e2-22f888fd1e3a"",""9aa5f8f6-963a-4a5a-b243-932faef0518c"",""ca6bee81-2fc0-499a-8105-8c8c45b1c092""]"
NEU RADIO,neu-radio,0.8960022919159365,3,7,"[{""key"":""neu!"",""name"":""Neu!"",""spinId"":3638806,""canonical"":false,""recording"":""08f9bb81-bb11-4de0-8d1e-18b8f5abb87d""},{""key"":""7a0f02e0-0ab8-4a62-9e14-c6925cfaed07"",""name"":""Suicide"",""spinId"":3708212,""canonical"":true,""recording"":""170de00c-0c38-45ac-b85d-780828b63a44""},{""key"":""aaae25bf-c794-45d7-bab7-cdc7c655bfa6"",""name"":""Broadcast"",""spinId"":3674962,""canonical"":true,""recording"":""1abed171-66d8-4955-8289-8cc39505a975""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3819029,""canonical"":true,""recording"":""2bc5c643-58a0-4dc5-8953-d7a471b4e4bf""},{""key"":""b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d"",""name"":""The Beatles"",""spinId"":3723471,""canonical"":true,""recording"":""654ca507-286d-4352-b210-a1bc8c0cc892""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3866143,""canonical"":true,""recording"":""6895d42d-2601-4482-a65c-f416f312c641""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3866104,""canonical"":true,""recording"":""6895d42d-2601-4482-a65c-f416f312c641""},{""key"":""c4ff10e0-ae5a-467d-a409-6e0b4bf241eb"",""name"":""Perfume Genius"",""spinId"":3787515,""canonical"":true,""recording"":""7d271bb7-4462-4358-9f73-f7a25d4ae585""},{""key"":""c4ff10e0-ae5a-467d-a409-6e0b4bf241eb"",""name"":""Perfume Genius"",""spinId"":3696822,""canonical"":true,""recording"":""87631743-4263-40e1-8dcb-4f673b603507""},{""key"":""4e2d192e-3d63-4f6e-b684-9e3d9165bdb4"",""name"":""Breanna Barbara"",""spinId"":3732830,""canonical"":true,""recording"":""be20f16c-7935-46f5-b60f-74778bf5f7f4""},{""key"":""kokoroko"",""name"":""Kokoroko"",""spinId"":3772299,""canonical"":false,""recording"":""f091cf76-14fb-4e56-a79a-830f5257d7c5""}]","[""08f9bb81-bb11-4de0-8d1e-18b8f5abb87d"",""170de00c-0c38-45ac-b85d-780828b63a44"",""1abed171-66d8-4955-8289-8cc39505a975"",""2bc5c643-58a0-4dc5-8953-d7a471b4e4bf"",""654ca507-286d-4352-b210-a1bc8c0cc892"",""6895d42d-2601-4482-a65c-f416f312c641"",""7d271bb7-4462-4358-9f73-f7a25d4ae585"",""87631743-4263-40e1-8dcb-4f673b603507"",""be20f16c-7935-46f5-b60f-74778bf5f7f4"",""f091cf76-14fb-4e56-a79a-830f5257d7c5""]"
Yammat FM,yammat-fm,0.8938746548583497,2,7,"[{""key"":""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"",""name"":""The Smiths"",""spinId"":3648085,""canonical"":true,""recording"":""06cb1f5a-6b7f-478e-878f-39b5e7c4ff45""},{""key"":""8538e728-ca0b-4321-b7e5-cff6565dd4c0"",""name"":""Depeche Mode"",""spinId"":3803013,""canonical"":true,""recording"":""1765adcf-9958-42b0-8736-73317f1e930b""},{""key"":""74963434-dcb6-4b14-98cc-99873b06db66"",""name"":""Future Islands"",""spinId"":3709081,""canonical"":true,""recording"":""1e8ca2ae-60cf-4ef9-97a2-643159afb4da""},{""key"":""teddy swims"",""name"":""TEDDY SWIMS"",""spinId"":3788830,""canonical"":false,""recording"":""236c660c-ab9f-4d35-9659-aa47f256b1bf""},{""key"":""teddy swims"",""name"":""TEDDY SWIMS"",""spinId"":3659406,""canonical"":false,""recording"":""236c660c-ab9f-4d35-9659-aa47f256b1bf""},{""key"":""5a2e9cd3-010a-4aae-9f83-629253284202"",""name"":""Sharon Van Etten"",""spinId"":3860978,""canonical"":true,""recording"":""3a85f309-8a77-4a59-8f19-5a37687cdeaf""},{""key"":""11f570ff-44d9-4e9c-8812-e6d56103c5c1"",""name"":""Michael Kiwanuka"",""spinId"":3667764,""canonical"":true,""recording"":""537eff0a-3f6f-487e-9c0c-a34a873c9971""},{""key"":""chromeo"",""name"":""Chromeo"",""spinId"":3812247,""canonical"":false,""recording"":""6214ce7f-c069-4ac3-80c9-b51073f283bd""},{""key"":""74963434-dcb6-4b14-98cc-99873b06db66"",""name"":""Future Islands"",""spinId"":3859998,""canonical"":true,""recording"":""997aa6e6-a8a7-44fa-acfe-0a1fc0cb19e7""},{""key"":""74963434-dcb6-4b14-98cc-99873b06db66"",""name"":""Future Islands"",""spinId"":3860016,""canonical"":true,""recording"":""997aa6e6-a8a7-44fa-acfe-0a1fc0cb19e7""},{""key"":""69158f97-4c07-4c4e-baf8-4e4ab1ed666e"",""name"":""Boards of Canada"",""spinId"":3748758,""canonical"":true,""recording"":""e5f8791c-3042-4d08-bd75-c39bdc0f3ac9""}]","[""06cb1f5a-6b7f-478e-878f-39b5e7c4ff45"",""1765adcf-9958-42b0-8736-73317f1e930b"",""1e8ca2ae-60cf-4ef9-97a2-643159afb4da"",""236c660c-ab9f-4d35-9659-aa47f256b1bf"",""3a85f309-8a77-4a59-8f19-5a37687cdeaf"",""537eff0a-3f6f-487e-9c0c-a34a873c9971"",""6214ce7f-c069-4ac3-80c9-b51073f283bd"",""997aa6e6-a8a7-44fa-acfe-0a1fc0cb19e7"",""e5f8791c-3042-4d08-bd75-c39bdc0f3ac9""]"
HEADY,heady,0.8867690009714415,6,2,"[{""key"":""2aaf7396-6ab8-40f3-9776-a41c42c8e26b"",""name"":""LCD Soundsystem"",""spinId"":3765748,""canonical"":true,""recording"":""3e74e764-5891-422d-a0b4-4eae0a6cf216""},{""key"":""the walkmen"",""name"":""The Walkmen"",""spinId"":3653543,""canonical"":false,""recording"":""41d791a6-cb96-419a-b81a-a4de759e058b""},{""key"":""06181fca-00bf-4f50-9d8a-39fd0efb879e"",""name"":""Sugar Candy Mountain"",""spinId"":3677232,""canonical"":true,""recording"":""444ff020-dd14-4e30-bbea-16adc73a7037""},{""key"":""584c04d2-4acc-491b-8a0a-e63133f4bfc4"",""name"":""Yeah Yeah Yeahs"",""spinId"":3854779,""canonical"":true,""recording"":""52b4b6ab-cc90-4a44-a5ee-ca8dbcf8cf2b""},{""key"":""584c04d2-4acc-491b-8a0a-e63133f4bfc4"",""name"":""Yeah Yeah Yeahs"",""spinId"":3854799,""canonical"":true,""recording"":""52b4b6ab-cc90-4a44-a5ee-ca8dbcf8cf2b""},{""key"":""die spitz"",""name"":""Die Spitz"",""spinId"":3688685,""canonical"":false,""recording"":""5ada0395-c868-4499-8b59-60046cce5d84""},{""key"":""die spitz"",""name"":""Die Spitz"",""spinId"":3652410,""canonical"":false,""recording"":""5ada0395-c868-4499-8b59-60046cce5d84""},{""key"":""die spitz"",""name"":""Die Spitz"",""spinId"":3771262,""canonical"":false,""recording"":""5ada0395-c868-4499-8b59-60046cce5d84""},{""key"":""die spitz"",""name"":""Die Spitz"",""spinId"":3752022,""canonical"":false,""recording"":""5ada0395-c868-4499-8b59-60046cce5d84""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3739486,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3795565,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3630997,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3711356,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3739485,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3817777,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3817782,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""dehd"",""name"":""Dehd"",""spinId"":3706419,""canonical"":false,""recording"":""9d0687c2-cc3c-4bda-af89-926aad0b022f""},{""key"":""4173ee0d-e003-496a-98eb-a2eaa90cb3f7"",""name"":""Nilüfer Yanya"",""spinId"":3753950,""canonical"":true,""recording"":""eab69cf9-4cca-4ffb-b394-198275b2cd77""}]","[""3e74e764-5891-422d-a0b4-4eae0a6cf216"",""41d791a6-cb96-419a-b81a-a4de759e058b"",""444ff020-dd14-4e30-bbea-16adc73a7037"",""52b4b6ab-cc90-4a44-a5ee-ca8dbcf8cf2b"",""5ada0395-c868-4499-8b59-60046cce5d84"",""810d2896-2dce-4620-80e2-22f888fd1e3a"",""9d0687c2-cc3c-4bda-af89-926aad0b022f"",""eab69cf9-4cca-4ffb-b394-198275b2cd77""]"
FIP Rock,fip-rock,0.8808551002174203,1,6,"[{""key"":""7a0f02e0-0ab8-4a62-9e14-c6925cfaed07"",""name"":""Suicide"",""spinId"":3713493,""canonical"":true,""recording"":""0d3e3f4a-82fa-41d9-a482-b365c9641dbd""},{""key"":""1f43d76f-8edf-44f6-aaf1-b65f05ad9402"",""name"":""The Flaming Lips"",""spinId"":3778718,""canonical"":true,""recording"":""155ce420-d12b-4007-85d7-6c7f3f62b930""},{""key"":""83b9cbe7-9857-49e2-ab8e-b57b01038103"",""name"":""Pearl Jam"",""spinId"":3679200,""canonical"":true,""recording"":""1a5910e2-b267-4c7c-94cd-9f83f6b7e398""},{""key"":""83d91898-7763-47d7-b03b-b92132375c47"",""name"":""Pink Floyd"",""spinId"":3793649,""canonical"":true,""recording"":""2034bdb6-c60e-4a13-8fac-1dbcfe08c0bf""},{""key"":""c842d29f-a297-48cd-bb71-4f77fd672b16"",""name"":""T. Rex"",""spinId"":3737856,""canonical"":true,""recording"":""3666c172-c65b-4ba9-be6f-ac19e9ace992""},{""key"":""d4659efb-b8eb-4f03-95e9-f69ce35967a9"",""name"":""David Byrne"",""spinId"":3756919,""canonical"":true,""recording"":""47cb3b34-266a-4ad5-bfdf-bf797dcd407a""},{""key"":""c4ff10e0-ae5a-467d-a409-6e0b4bf241eb"",""name"":""Perfume Genius"",""spinId"":3846744,""canonical"":true,""recording"":""8202b817-9c35-4542-8fd8-f8bb5b2eac1a""},{""key"":""c4ff10e0-ae5a-467d-a409-6e0b4bf241eb"",""name"":""Perfume Genius"",""spinId"":3846693,""canonical"":true,""recording"":""8202b817-9c35-4542-8fd8-f8bb5b2eac1a""}]","[""0d3e3f4a-82fa-41d9-a482-b365c9641dbd"",""155ce420-d12b-4007-85d7-6c7f3f62b930"",""1a5910e2-b267-4c7c-94cd-9f83f6b7e398"",""2034bdb6-c60e-4a13-8fac-1dbcfe08c0bf"",""3666c172-c65b-4ba9-be6f-ac19e9ace992"",""47cb3b34-266a-4ad5-bfdf-bf797dcd407a"",""8202b817-9c35-4542-8fd8-f8bb5b2eac1a""]"
Super45.fm,super45-fm,0.8488137700637857,1,9,"[{""key"":""love"",""name"":""Love"",""spinId"":3735414,""canonical"":false,""recording"":""086fef90-7e9a-42d5-b3cb-47b529cafdbe""},{""key"":""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"",""name"":""The Smiths"",""spinId"":3799554,""canonical"":true,""recording"":""101e7e01-f90e-4471-adee-99ed04ed6fee""},{""key"":""aaae25bf-c794-45d7-bab7-cdc7c655bfa6"",""name"":""Broadcast"",""spinId"":3736665,""canonical"":true,""recording"":""29c8ff4c-e7c2-42a4-bd34-41bcff613afc""},{""key"":""aaae25bf-c794-45d7-bab7-cdc7c655bfa6"",""name"":""Broadcast"",""spinId"":3683834,""canonical"":true,""recording"":""2ae94d47-9b01-49e1-a522-54891ea857af""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3810571,""canonical"":true,""recording"":""453f5300-0302-45e9-bee8-935ce043afd4""},{""key"":""b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d"",""name"":""The Beatles"",""spinId"":3655349,""canonical"":true,""recording"":""6177851f-933e-4abb-a021-3d2dd220efb5""},{""key"":""9b5ae4cc-15ae-4f0b-8a4e-8c44e42ba52a"",""name"":""La Luz"",""spinId"":3722432,""canonical"":true,""recording"":""6cb0831e-e732-4807-9bcc-b10f78b532d6""},{""key"":""2aaf7396-6ab8-40f3-9776-a41c42c8e26b"",""name"":""LCD Soundsystem"",""spinId"":3693241,""canonical"":true,""recording"":""8912139e-1f70-4fb4-a876-7061b215e8d5""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3677254,""canonical"":true,""recording"":""ac8591c6-3367-4ead-a37e-3cf8537f4122""},{""key"":""aaae25bf-c794-45d7-bab7-cdc7c655bfa6"",""name"":""Broadcast"",""spinId"":3843945,""canonical"":true,""recording"":""af1aaa10-fab5-40b7-809d-8fadcf2eeb72""}]","[""086fef90-7e9a-42d5-b3cb-47b529cafdbe"",""101e7e01-f90e-4471-adee-99ed04ed6fee"",""29c8ff4c-e7c2-42a4-bd34-41bcff613afc"",""2ae94d47-9b01-49e1-a522-54891ea857af"",""453f5300-0302-45e9-bee8-935ce043afd4"",""6177851f-933e-4abb-a021-3d2dd220efb5"",""6cb0831e-e732-4807-9bcc-b10f78b532d6"",""8912139e-1f70-4fb4-a876-7061b215e8d5"",""ac8591c6-3367-4ead-a37e-3cf8537f4122"",""af1aaa10-fab5-40b7-809d-8fadcf2eeb72""]"
FIP,fip-main,0.8423424087631561,2,5,"[{""key"":""ff9542ca-7859-4db2-8796-c1e3c39b9c0a"",""name"":""Shuggie Otis"",""spinId"":3808260,""canonical"":true,""recording"":""17fbf378-cb77-49ec-bbdc-52a058dd0cc7""},{""key"":""83d91898-7763-47d7-b03b-b92132375c47"",""name"":""Pink Floyd"",""spinId"":3790427,""canonical"":true,""recording"":""1bfdc39a-108b-48ec-8b18-982cd2baab6e""},{""key"":""1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e"",""name"":""Stevie Wonder"",""spinId"":3665673,""canonical"":true,""recording"":""4b133a57-84b0-43cf-b5dd-a896ab7fae1e""},{""key"":""d922d727-240a-4432-9a88-05a7cf9bc403"",""name"":""Wings"",""spinId"":3798540,""canonical"":true,""recording"":""4c73be9f-af53-402c-a8e5-8150d7e98e9c""},{""key"":""cd5799f6-e6cf-4322-a659-96f5de4a2f6c"",""name"":""Altın Gün"",""spinId"":3813070,""canonical"":true,""recording"":""a03c7375-06cf-45fd-8f9c-eecb7f4f1498""},{""key"":""1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e"",""name"":""Stevie Wonder"",""spinId"":3758188,""canonical"":true,""recording"":""e02d4d8d-523c-42d2-9eed-a2e06fb97c50""},{""key"":""74fa159c-cad0-474f-97c0-e97a27044c19"",""name"":""Ghost Power"",""spinId"":3806906,""canonical"":true,""recording"":""ffaf34f2-fa02-4728-a738-4b469d502b3e""}]","[""17fbf378-cb77-49ec-bbdc-52a058dd0cc7"",""1bfdc39a-108b-48ec-8b18-982cd2baab6e"",""4b133a57-84b0-43cf-b5dd-a896ab7fae1e"",""4c73be9f-af53-402c-a8e5-8150d7e98e9c"",""a03c7375-06cf-45fd-8f9c-eecb7f4f1498"",""e02d4d8d-523c-42d2-9eed-a2e06fb97c50"",""ffaf34f2-fa02-4728-a738-4b469d502b3e""]"
KVSC 88.1 FM,kvsc,0.8263492625002674,2,5,"[{""key"":""1f43d76f-8edf-44f6-aaf1-b65f05ad9402"",""name"":""The Flaming Lips"",""spinId"":3682146,""canonical"":true,""recording"":""02b609a6-7881-4b9f-bfa3-35e51838d656""},{""key"":""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"",""name"":""The Smiths"",""spinId"":3684320,""canonical"":true,""recording"":""12b4fae9-bf00-41b6-968f-fc74f10d564b""},{""key"":""5a2e9cd3-010a-4aae-9f83-629253284202"",""name"":""Sharon Van Etten"",""spinId"":3696240,""canonical"":true,""recording"":""2ec41fe3-f424-4f09-9518-99c20673cc9d""},{""key"":""1f43d76f-8edf-44f6-aaf1-b65f05ad9402"",""name"":""The Flaming Lips"",""spinId"":3769965,""canonical"":true,""recording"":""40f3ca80-1d4c-4ce6-80f3-00ea3de19d86""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3768271,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""slow pulp"",""name"":""Slow Pulp"",""spinId"":3676739,""canonical"":false,""recording"":""810d2896-2dce-4620-80e2-22f888fd1e3a""},{""key"":""4173ee0d-e003-496a-98eb-a2eaa90cb3f7"",""name"":""Nilüfer Yanya"",""spinId"":3848011,""canonical"":true,""recording"":""8f4a94c7-4c09-43d9-9b19-4841bd013616""},{""key"":""4ba8a084-2772-400f-9738-6736895c965d"",""name"":""Chat Pile"",""spinId"":3810814,""canonical"":true,""recording"":""db71791e-a2f9-459b-984e-da79d8386864""}]","[""02b609a6-7881-4b9f-bfa3-35e51838d656"",""12b4fae9-bf00-41b6-968f-fc74f10d564b"",""2ec41fe3-f424-4f09-9518-99c20673cc9d"",""40f3ca80-1d4c-4ce6-80f3-00ea3de19d86"",""810d2896-2dce-4620-80e2-22f888fd1e3a"",""8f4a94c7-4c09-43d9-9b19-4841bd013616"",""db71791e-a2f9-459b-984e-da79d8386864""]"
WXYC 89.3 FM,wxyc,0.8111193984030677,1,7,"[{""key"":""4b585938-f271-45e2-b19a-91c634b5e396"",""name"":""Kate Bush"",""spinId"":3654659,""canonical"":true,""recording"":""0349ac8a-9783-4284-a6ce-eb21dd4484ac""},{""key"":""2aaf7396-6ab8-40f3-9776-a41c42c8e26b"",""name"":""LCD Soundsystem"",""spinId"":3839742,""canonical"":true,""recording"":""1721b375-5454-48fb-9cf8-884bf4cdc5ee""},{""key"":""83d91898-7763-47d7-b03b-b92132375c47"",""name"":""Pink Floyd"",""spinId"":3720850,""canonical"":true,""recording"":""3043e53c-9dda-4970-8670-abe1fa336e55""},{""key"":""4b585938-f271-45e2-b19a-91c634b5e396"",""name"":""Kate Bush"",""spinId"":3801258,""canonical"":true,""recording"":""33137503-0ebf-4b6b-a7ce-cc71df5865df""},{""key"":""b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d"",""name"":""The Beatles"",""spinId"":3800743,""canonical"":true,""recording"":""5c1fa2f5-4e42-440c-b2c9-966cd20fa254""},{""key"":""044fd265-79dd-43eb-afc4-8b20becf7e17"",""name"":""Thundercat"",""spinId"":3842816,""canonical"":true,""recording"":""6cf6504f-e47b-4bda-91a6-e07717baff4e""},{""key"":""83d91898-7763-47d7-b03b-b92132375c47"",""name"":""Pink Floyd"",""spinId"":3678896,""canonical"":true,""recording"":""89fa5e12-b898-44c6-9d62-2fac4ed5565c""},{""key"":""d5cc67b8-1cc4-453b-96e8-44487acdebea"",""name"":""Beach House"",""spinId"":3812736,""canonical"":true,""recording"":""c8251635-ed63-4b2f-8268-4bb8da056ccb""}]","[""0349ac8a-9783-4284-a6ce-eb21dd4484ac"",""1721b375-5454-48fb-9cf8-884bf4cdc5ee"",""3043e53c-9dda-4970-8670-abe1fa336e55"",""33137503-0ebf-4b6b-a7ce-cc71df5865df"",""5c1fa2f5-4e42-440c-b2c9-966cd20fa254"",""6cf6504f-e47b-4bda-91a6-e07717baff4e"",""89fa5e12-b898-44c6-9d62-2fac4ed5565c"",""c8251635-ed63-4b2f-8268-4bb8da056ccb""]"
