cohort_rank,standard_crossing_rank,station,slug,standard_score_7d,exact_crossings_7d,artist_crossings_7d,description,country,organization,homepage,inclusion_reason,crossing_status
83,83,WKNC 88.1 FM,wknc,0.000000,0,0,"NC State's student-run college radio station, playing indie rock, electronic, hip-hop, jazz and metal.",US,NC State University,https://spinitron.com/WKNC/,Bro Zone,scored
84,,100% ACID JAZZ,100-acid-jazz,,,,100% ACID JAZZ – Radio Suite Network,Canada,,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/,scrape-only experimental set,no current crossing evidence
85,,12XU,12xu,,,,12XU | Verspannungsmusik!,Germany,,http://onetwoxu.de/,scrape-only experimental set,no current crossing evidence
86,,1LIVE Fiehe,1live-fiehe,,,,"Für viele ist er der ""deutsche John Peel"", er selbst fühlt sich als ""der Typ, der korrektes Zeug auflegt"". Klaus Fiehe impft unsere mainstreamtauben Ohren mit hochdosierten Tracks zwischen Break- und Straight Beats.",Germany,,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html,scrape-only experimental set,no current crossing evidence
87,,24-7 Psychedelic Rock,24-7-psychedelic-rock,,,,24-7 Psychedelic Rock | Niche Radio,The United Kingdom Of Great Britain And Northern Ireland,,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/,scrape-only experimental set,no current crossing evidence
88,,8Ball Radio,8ball-radio,,,,8-Ball Radio - Community Based Online Radio Station,US,8 Ball Community,https://8ballradio.nyc/,scrape-only experimental set,no current crossing evidence
89,,Amazing Radio,amazing-radio,,,,Where talent gets noticed.,GB,Amazing Radio,https://amazingradio.com/,mission-led editorial,no current crossing evidence
90,,Ambient Modern,ambient-modern,,,,Ambient Modern – a radio station for modern ambient music,The United States Of America,,https://ambientmodern.com/,scrape-only experimental set,no current crossing evidence
91,,ambient.fm,ambient-fm,,,,Ambient music broadcasting from Nevada,The United States Of America,,https://ambient.fm/,scrape-only experimental set,no current crossing evidence
92,,AmbientRadio (MRG.fm),ambientradio-mrg-fm,,,,16 Free Radio Stations - MRG.fm,The United States Of America,,https://www.mrg.fm/,scrape-only experimental set,no current crossing evidence
93,,Anon.FM,anon-fm,,,,"Радио Анонимус - некоммерческий проект радиостанции, созданный в 2009 году, где каждый может показать себя и свои таланты. У тебя хороший голос? Ты умеешь петь? Разбираешься в музыке и в курсе современных музыкальных тенденций? Может быть ты можешь часами говорить о вышивании кре",The Russian Federation,,https://anon.radio.fm/,scrape-only experimental set,no current crossing evidence
94,,Avant-Prog/Rock in Opposition/Canterbury Scene/Zeuhl - Radio Caprice,avant-prog-rock-in-opposition-canterbury-scene-zeuhl-radio-caprice,,,,"Scraped tags: avant-garde, zeuhl.",,,http://radcap.ru/avantprog.html,scrape-only experimental set,no current crossing evidence
95,,Basspistol Radio,basspistol-radio,,,,"Outernational Music Syndicate. The underground is dead, long live the underground!",Switzerland,,https://basspistol.com/radio,scrape-only experimental set,no current crossing evidence
96,,bauhaus.fm,bauhaus-fm,,,,bauhaus.fm – Das experimentelle Radio an der Bauhaus-Universität Weimar | UKW 106.6 MHz,Germany,,https://www.uni-weimar.de/projekte/bauhaus-fm,scrape-only experimental set,no current crossing evidence
97,,Black Rhino Radio,black-rhino-radio,,,,Black Rhino Radio,Romania,,https://blackrhinoradio.com/,scrape-only experimental set,no current crossing evidence
98,,Cashmere Radio,cashmere-radio,,,,"Cashmere Radio is a community experimental radio station based in Lichtenberg, Berlin - broadcasting underground music, talk shows and live performative arts.",DE,Cashmere Radio e.V.,https://cashmereradio.com/,scrape-only experimental set,no current crossing evidence
99,,Chill Lounge Florida (USA) 128k mp3,chill-lounge-florida-usa-128k-mp3,,,,"Scraped tags: ambient, chill, chillout, lounge.",The United States Of America,,https://vip2.fastcast4u.com/proxy/chillfla?mp=/1,scrape-only experimental set,no current crossing evidence
100,,CJLO 1690AM,cjlo,,,,CJLO 1690AM,CA,Concordia University,https://www.cjlo.com/,mission-led editorial,no current crossing evidence
101,,Concertzender De Gehoorde Stilte,concertzender-de-gehoorde-stilte,,,,De Concertzender is er voor muziekliefhebbers die het avontuur niet schuwen. Onder het motto,The Netherlands,,https://www.concertzender.nl/programma_genre/hedendaagse-muziek/,scrape-only experimental set,no current crossing evidence
102,,Concertzender X-Rated,concertzender-x-rated,,,,De Concertzender is er voor muziekliefhebbers die het avontuur niet schuwen. Onder het motto,The Netherlands,,https://www.concertzender.nl/programma_genre/crosslinks/,scrape-only experimental set,no current crossing evidence
103,,CoSTa's Ambient Radio,costa-s-ambient-radio,,,,"Scraped tags: ambient, electronic, psybient.",Poland,,https://pc.costa-server.info.pl:11020/public/costas_ambient_radio,scrape-only experimental set,no current crossing evidence
104,,Cryosleep,cryosleep,,,,"Scraped tags: ambient, calm, music, nobeat, sleep, space.",The United States Of America,,http://www.echoesofbluemars.org/cryosleep.php,scrape-only experimental set,no current crossing evidence
105,,DARK ZERO RADIO,dark-zero-radio,,,,"Dark-Zero-Radio is an online radio station based in Germany, specializing in Darkwave, EBM, Futurepop, Gothic Rock, Industrial, New Beat, New Wave, Post-Punk, Synthpop, NDH, and Melodic Rock. Founded in March 2018, it delivers an exciting mix of alternative and underground music",Germany,,https://dark-zero-radio.com/,scrape-only experimental set,no current crossing evidence
106,,Darksynth Radio,darksynth-radio,,,,"Scraped tags: electronic, 80s, darkwave, electropop, gothic, industrial, minimal wave, synthpop.",Austria,,https://laut.fm/darksynthradio,scrape-only experimental set,no current crossing evidence
107,,DEEP IN SPACE,deep-in-space,,,,DEEP IN SPACE - space travel music. Музыка для космических путешествий,The Russian Federation,,https://deepinspace.ru/,scrape-only experimental set,no current crossing evidence
108,,Deep Radio,deep-radio,,,,"Wij zijn Deep, een legendarisch online dance radio station. We ademen al bijna 20 jaar dancemuziek. Ons hart klopt 24 uur per dag in een vette beat. Probeer daar maar eens stil bij te blijven zitten! Overal te beluisteren via https://deep.radio",The Netherlands,,https://deep.radio/,scrape-only experimental set,no current crossing evidence
109,,DJ 666 Geordieblackcore,dj-666-geordieblackcore,,,,"Scraped tags: black metal, crust, death metal, folk, folk metal, gore metal, grindcore, pagan black metal, punk, thrash metal.",,,https://laut.fm/dj666geordieblackcore,scrape-only experimental set,no current crossing evidence
110,,Dublab,dublab,,,,dublab,US,Dublab,https://dublab.com,Bro Zone; mission-led editorial,no current crossing evidence
111,,EBM,ebm,,,,"Scraped tags: dark wave, ebm, electronic, electronica, experimental, industrial, martial industrial, new wave.",Germany,,https://flatlinesradio.de/,scrape-only experimental set,no current crossing evidence
112,,Echoes of Bluemars,echoes-of-bluemars,,,,"Scraped tags: ambient, bluemars, mars, music, space.",The United States Of America,,http://www.echoesofbluemars.org/bluemars.php,scrape-only experimental set,no current crossing evidence
113,,ElectroZombies,electrozombies,,,,"Your no.1 place for classic to contemporary synth pop music. Discover music videos, album reviews, and more of your beloved music genre.",Germany,,https://electrozombies.com/,scrape-only experimental set,no current crossing evidence
114,,Elektronisch Querbeat,elektronisch-querbeat,,,,"Scraped tags: abstract, ambient, broken beat, dubstep, glitch, idm.",Germany,,http://laut.fm/elektronisch_querbeat,scrape-only experimental set,no current crossing evidence
115,,EPIC CLASSICAL - Classical Dinner,epic-classical-classical-dinner,,,,"Scraped tags: ambient, chillout, classical, classical piano, jazz, klassik, lounge, piano, synth.",Germany,,https://epic-classical.com/,scrape-only experimental set,no current crossing evidence
116,,EPIC CLASSICAL - Classical Oldies,epic-classical-classical-oldies,,,,"Scraped tags: ambient, ambiente, classic, goldies, jazz, klassik, new classics, oldies, piano, relax.",Germany,,https://epic-classical.com/,scrape-only experimental set,no current crossing evidence
117,,EPIC CLASSICAL - Classical Study,epic-classical-classical-study,,,,"Scraped tags: adult contemporary, ambient, chillout, chillout+lounge, classical, jazz, klassik, music for study.",Germany,,https://epic-classical.com/,scrape-only experimental set,no current crossing evidence
118,,Euro Smooth Jazz,euro-smooth-jazz,,,,"Aktueller Song, Playlist und Infos zu Euro Smoothjazz.",Germany,,http://eurosmoothjazz.com/,scrape-only experimental set,no current crossing evidence
119,,Experimentalgems,experimentalgems,,,,"Scraped tags: ambient, avantgarde, drone, electronic, experimental, jazz.",Germany,,https://laut.fm/experimentalgems,scrape-only experimental set,no current crossing evidence
120,,FBi Radio,fbi-radio,,,,The beating heart of Sydney music.,AU,Free Broadcast Inc.,https://www.fbi.radio/,mission-led editorial,no current crossing evidence
121,,Flatlines Radio,flatlines-radio,,,,"Scraped tags: darkwave, ebm, folk, gothic, industrial, melodic rock, metal, mittelalter, neofolk, new wave, post-punk.",Germany,,https://www.flatlinesradio.de/,scrape-only experimental set,no current crossing evidence
122,,GDS.FM,gds-fm,,,,"GDS.FM ist eine wichtige Plattform für hiesige Musikschaffende und sendet nonstop besten Sound ohne mühsame Werbeunterbrechungen. Seit 2014 setzen wir uns dafür ein, dass die kulturelle Vielfalt, die das Schweizer Nachtleben zu bieten hat, auch über Radio zugänglich gemacht wird.",Switzerland,,http://www.gds.fm/,scrape-only experimental set,no current crossing evidence
123,,Glacer FM,glacer-fm,,,,Glacer FM is the The #1 Global Internet Radio Station focusing on Unsigned and Independent Music in all genres. We engage an audience of music enthusiasts.,US,Glacer FM,https://www.glacerfm.com/,mission-led editorial,no current crossing evidence
