name,slug,org,country,homepage_url,tags,homepage_blurb,station_class,source,automation_class,favorite
0 N — 2000s,rb-1a4914a2-f35f-11e8-a471-52543be04c81,0 N,DE,https://www.0nradio.com/,"[""2000s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",curated,curated,automated,f
0 N — 50s,rb-d4c545ef-a4e5-412a-b141-852c2fe50707,0 N,DE,https://www.0nradio.com/,"[""50s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",curated,curated,automated,f
0 N — 60s,rb-f9533da3-f2c1-11e8-a471-52543be04c81,0 N,DE,https://www.0nradio.com/,"[""60s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",curated,curated,automated,f
0nlineradio — 50s,rb-0725d662-7f7b-4363-8c8f-2b35c6916d84,0nlineradio,DE,https://0nlineradio.com/,"[""50s"", ""era"", ""specialist""]",,curated,curated,automated,f
12XU,12xu,,Germany,http://onetwoxu.de/,"[""garage punk"", ""indie rock"", ""noise"", ""noise rock"", ""post-punk"", ""punk""]",12XU | Verspannungsmusik!,curated,radio_browser,,f
181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,,The United States Of America,http://player.181fm.com/?station=181-chilled,"[""ambient"", ""chill"", ""chillout"", ""easy listening"", ""electro""]",Chilled Out Webplayer,curated,radio_browser,,f
1A Radio — 2000s,rb-1defd57a-bf9c-11e9-8502-52543be04c81,1A Radio,DE,https://www.1aradio.com/,"[""2000s"", ""era"", ""specialist""]","1A Radio bietet f&uuml;r jeden Geschmack das richtige Programm: Schlager, Volksmusik, aktuelle Hits, Oldies der 60er, 70er, 80er und 90er &ndash; hier",curated,curated,automated,f
1LIVE Fiehe,1live-fiehe,,Germany,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html,"[""1 live"", ""1 live fiehe"", ""ambient"", ""drum and bass"", ""dubstep"", ""freestyle"", ""klaus fiehe"", ""krautrock"", ""minimal"", ""raum und zeit""]","Für viele ist er der &#034;deutsche John Peel&#034;, er selbst fühlt sich als &#034;der Typ, der korrektes Zeug auflegt&#034;. Klaus Fiehe impft unsere mainstreamtauben Ohren mit hochdosierten Tracks zwischen Break- und Straight Beats.",curated,radio_browser,mixed,f
6forty Radio,6forty-radio,,The United States Of America,http://www.6fortyradio.com/,"[""deep indie"", ""modern classical"", ""post-metal"", ""post-rock"", ""shoegaze""]",,curated,radio_browser,,f
8Ball Radio,8ball-radio,8 Ball Community,US,https://8ballradio.nyc/,"[""community"", ""experimental"", ""specialist""]",8-Ball Radio - Community Based Online Radio Station,community,curated,human,t
