name,slug,org,country,homepage_url,homepage_blurb,tags,hidden,standard_score,exact_crossings,artist_crossings
KALX 90.7 FM,kalx,UC Berkeley,US,https://kalx.berkeley.edu,Ordinary people making extraordinary radio.,"[""college""]",f,0.905987354887001,3,5
KEXP 90.3 FM,kexp,KEXP,US,https://kexp.org,"KEXP is a nonprofit arts organization serving music lovers through in-person, broadcast and online programming.","[""anchor"",""specialist""]",f,0.9015827939587969,10,0
NEU RADIO,neu-radio,,Italy,https://www.neuradio.it/,"Neu Radio è la nuova web radio, un collettivo, un aggregatore culturale. In streaming 24/7 da Bologna verso il mondo.","[""afrobeats"",""alternative"",""ambient"",""arts"",""beats"",""black"",""breakbeat"",""cinema"",""culture"",""dub"",""electronic"",""electropop"",""experimental"",""funk"",""house"",""indie pop"",""indie rock"",""jazz"",""local news"",""minimal"",""minimal wave"",""music"",""new wave"",""news"",""nu-jazz"",""post-punk"",""post-rock"",""reggae"",""soul"",""synth"",""synthwave"",""world"",""worldbeat""]",f,0.8960022919159365,3,7
Yammat FM,yammat-fm,,Croatia,https://www.yammat.fm/,"Radio streamovi Za drugo stanje svijesti Pokrenite svoj zvuk, live i tematskim glazbenim streamovima. Pred vama je sve što vam treba. play_arrow ROMANTIC REBELS &#038; POP WAVES New Wave / POP / 80&#039;s / 90&#039;s play_arrow YAMMAT LIVE ON AIR play_arrow STREET SPITTA HIP HOP/","[""alternative"",""dance"",""disco"",""experimental"",""funk"",""gospel"",""hip-hop"",""house"",""indie"",""punk"",""reagge"",""rock"",""soul"",""techno"",""world""]",f,0.8938746548583497,2,7
HEADY,heady,,The United States Of America,https://www.heady.fm/,"Stream commercial-free music 24/7 on HEADY.FM. Discover underground music, your favorite tracks, emerging artists, and deep cuts without interruptions. Listen online now.","[""indie"",""indie rock"",""psychedelic"",""psychedelic rock"",""rock""]",f,0.8867690009714415,6,2
FIP Rock,fip-rock,Radio France,FR,https://www.radiofrance.fr/fip,Tout l,"[""specialist""]",f,0.8808551002174203,1,6
Super45.fm,super45-fm,,Chile,https://super45.fm/,Radio online desde Santiago de Chile. Probablemente la mejor radio del mundo.,"[""experimental"",""indie""]",f,0.8488137700637857,1,9
FIP,fip-main,Radio France,FR,https://www.radiofrance.fr/fip,Tout l,"[""anchor""]",f,0.8423424087631561,2,5
KVSC 88.1 FM,kvsc,St. Cloud State University,US,https://www.kvsc.org,KVSC Your Sound Alternative,"[""college""]",f,0.8263492625002674,2,5
WXYC 89.3 FM,wxyc,UNC Chapel Hill,US,https://wxyc.org,"UNC-Chapel Hill&#x27;s student-run, freeform radio station","[""college""]",f,0.8111193984030677,1,7
Radyo A (Radyo Anadolu Üniversitesi),radyo-a-radyo-anadolu-niversitesi,,Türkiye,http://www.radyoa.anadolu.edu.tr/,,"[""blues"",""folk"",""pop rock"",""university radio""]",f,0.8028202043719201,1,8
WPKN 89.5 FM,wpkn,WPKN,US,https://wpkn.org,"WPKN is a 10,000-watt non-profit listener-supported community radio station; broadcasting at 89.5 FM and streaming online at WPKN.org",,f,0.7863220134817253,2,4
KXLU 88.9 FM,kxlu,Loyola Marymount University,US,https://kxlu.com,KXLU 88.9 FM,"[""college""]",f,0.7765453054415137,2,3
Candelight,candelight,,The Netherlands,http://www.candlelight.nl/,Love Songs & Pop Classics,"[""ambient"",""ambient and relaxation music""]",f,0.7454652252394278,1,4
Le Bon Mix Radio 97.9,le-bon-mix-radio-97-9,,France,https://www.lebonmix.radio/,"Le Bon Mix distille des rythmes Funk, Jazz, Disco, Electro, Pop, Soul, World, Reggae, Rock, & more... 4 radios gratuites et sans pub pour un mélange pointu de titres anciens jusqu","[""disco"",""electro"",""funk"",""jazz"",""music"",""pop"",""raggae"",""rock"",""sanspub"",""soul"",""world""]",f,0.7056528581332816,0,5
WMFO 91.5 FM,wmfo,Tufts University,US,https://wmfo.org,Tufts Freeform Radio,"[""college""]",f,0.6666766599850258,1,3
RadioActive,radioactive,,Greece,https://radioactivefm.gr/,RadioActive Official &#8211; A Small Radio Station &#8230; A Huge Fan Club,"[""eclectic"",""electronic"",""rock"",""world"",""world music""]",f,0.6659061963495797,1,4
KCRW — Eclectic 24,kcrw-eclectic24,KCRW,US,https://www.kcrw.com/music/shows/eclectic24,,"[""public""]",f,0.6574109390364375,1,3
BBC 6 Music,bbc-6music,BBC,GB,https://www.bbc.co.uk/6music,Listen live to Radio 6 Music on BBC Sounds,"[""anchor""]",f,0.5685107296223626,0,5
