name,slug,hidden,active,homepage_url,tags
1001 TRUMPET SONG,1001-trumpet-song,t,t,https://laut.fm/1001-trumpet-song,"[""classic - instrumental"", ""classic jazz"", ""instrumental"", ""instrumental music"", ""jazz"", ""jazz fusion"", ""nu-jazz"", ""smooth jazz""]"
Alternativeworld,alternativeworld,t,t,https://laut.fm/alternativeworld,"[""alternative"", ""brit pop"", ""indie"", ""new wave"", ""punk""]"
Blasmusikradio mit Bernd,blasmusikradio-mit-bernd,t,t,https://laut.fm/blasmusikradio_mit_bernd,"[""blasmusik"", ""folk"", ""marsch"", ""polka""]"
Championshipvinyl,championshipvinyl,f,t,https://laut.fm/championshipvinyl,"[""acoustic"", ""folk"", ""indie"", ""indie folk""]"
DJ 666 Geordieblackcore,dj-666-geordieblackcore,f,t,https://laut.fm/dj666geordieblackcore,"[""black metal"", ""crust"", ""death metal"", ""folk"", ""folk metal"", ""gore metal"", ""grindcore"", ""pagan black metal"", ""punk"", ""thrash metal""]"
Darksynth Radio,darksynth-radio,f,t,https://laut.fm/darksynthradio,"[""electronic"", ""80s"", ""darkwave"", ""electropop"", ""gothic"", ""industrial"", ""minimal wave"", ""synthpop""]"
Denge Qamishlo,denge-qamishlo,t,t,https://laut.fm/dengeqamishlo,"[""folk"", ""folk music"", ""kurdish folk music"", ""kurdish songs""]"
Elektronisch Querbeat,elektronisch-querbeat,f,t,http://laut.fm/elektronisch_querbeat,"[""abstract"", ""ambient"", ""broken beat"", ""dubstep"", ""glitch"", ""idm""]"
Experimentalgems,experimentalgems,f,t,https://laut.fm/experimentalgems,"[""ambient"", ""avantgarde"", ""drone"", ""electronic"", ""experimental"", ""jazz""]"
Jazzloft,jazzloft,f,t,http://stream.laut.fm/jazzloft,"[""jazz"", ""lounge"", ""smooth"", ""soul"", ""world"", ""world music""]"
Laut.FM Chillout-Radio,laut-fm-chillout-radio,t,t,https://laut.fm/chilloutradio,"[""ambient"", ""space""]"
Laut.FM Shoegaze,laut-fm-shoegaze,t,t,https://laut.fm/shoegaze,"[""ambient"", ""dream pop"", ""electro"", ""indie"", ""post-punk"", ""rock"", ""shoegaze""]"
Laut.FM SynthPop,laut-fm-synthpop,t,t,http://laut.fm/synthpop,"[""ebm"", ""electropop"", ""futurepop"", ""new wave"", ""synthpop"", ""synthwave""]"
Laut.FM Synthesizer Greatest,laut-fm-synthesizer-greatest,f,t,http://www.laut.fm/synthesizergreatest,"[""ambient"", ""electronic""]"
Laut.FM Vinyl-XL,laut-fm-vinyl-xl,t,t,http://laut.fm/vinyl-xl,"[""80s"", ""new wave""]"
Path through the Forest,path-through-the-forest,f,t,http://laut.fm/path_through_the_forest,"[""alternative"", ""avant-garde"", ""experimental"", ""indie"", ""industrial"", ""noise"", ""psychedelic"", ""punk"", ""rock"", ""stoner""]"
Radio Rabenwind,radio-rabenwind,t,t,https://laut.fm/rabenwind,"[""celtic"", ""folk"", ""gothic"", ""medieval"", ""mittelalter""]"
Wavebreaker,wavebreaker,f,t,https://laut.fm/wavebreaker,"[""alternative"", ""ambient"", ""electropop"", ""gothic"", ""indie"", ""new wave""]"
laut.fm - Dark Sound United,laut-fm-dark-sound-united,f,t,https://laut.fm/dark-sound-united,"[""black metal"", ""electropop"", ""gothic"", ""gothic rock"", ""heavy metal"", ""industrial"", ""new wave"", ""synthpop""]"
laut.fm - Shamanic Tunes,laut-fm-shamanic-tunes,f,t,https://laut.fm/shamanic_tunes,"[""alternative"", ""chillout"", ""doom metal"", ""groove"", ""hard rock"", ""psychedelic"", ""rock"", ""stoner rock"", ""trip-hop""]"
laut.fm Dark-Mythos,laut-fm-dark-mythos,t,t,http://laut.fm/dark-mythos,"[""ebm"", ""electronic"", ""gothic"", ""new wave"", ""romance""]"
laut.fm Fantasyradio,laut-fm-fantasyradio,t,t,http://laut.fm/fantasyradio,"[""folk"", ""electro"", ""epic"", ""fantasy"", ""gothic"", ""metal"", ""mittelalter"", ""symphonic""]"
laut.fm Kakerlakenradio,laut-fm-kakerlakenradio,t,t,http://laut.fm/kakerlakenradio,"[""alternative"", ""brit pop"", ""garage"", ""indie"", ""new wave"", ""pop"", ""punk"", ""rock""]"
laut.fm Schwarze Szene,laut-fm-schwarze-szene,f,t,http://laut.fm/schwarzeszene,"[""folk"", ""dark wave"", ""electro"", ""gothic"", ""industrial"", ""medieval"", ""metal"", ""neofolk""]"
laut.fm Sound,laut-fm-sound,t,t,http://laut.fm/sound,"[""20s"", ""30s"", ""40s"", ""50s"", ""60s"", ""70s"", ""americana"", ""classic country"", ""classic folk"", ""country"", ""country blues"", ""country rock"", ""folk"", ""folk rock"", ""old time radio"", ""oldies""]"

