name,slug,org,country,homepage_url,tags,homepage_blurb,genre_profile,recent_profile,station_class,source,automation_class,favorite
"#CLUB CHARTS -> TOP 100 || IMMER AKTUELL || DJ CHARTS || HOUSE, EDM, DEEP HOUSE - TECH HOUSE - TECHNO - MELODIC TECHNO - EDM - ELECTRONIC DANCE MUSIC - CLUB - DJ - DJ MIX - REMIX - FESTIVAL - FESTIVAL RADIO - IBIZA - IBIZA HOUSE - SUMMER HOUSE - BEACH CLUB - CHILLOUT - LOUNGE - RAVE - PARTY MUSIC - NIGHTLIFE - URBAN - HIP HOP - RNB - AFRO HOUSE - LATIN HOUSE - TRANCE - HARDSTYLE - HARDCORE",club-charts-top-100-immer-aktuell-dj-charts-house-edm-deep-house-tech-house-techno-melodic-techno-edm-electronic-dance-m,,Germany,https://breakz.fm/trackliste/,"[""24/7"", ""ambient"", ""charts"", ""chillout"", ""dance"", ""dance pop"", ""deep house"", ""dj mixes"", ""dj remix"", ""dj sets"", ""electronic"", ""electronica"", ""eurodance"", ""hiphop"", ""house"", ""instagram"", ""jazz"", ""klassik"", ""lounge"", ""lounge music"", ""mainstream"", ""mix"", ""news"", ""non-stop"", ""non-stop music"", ""party"", ""party hits"", ""partymix"", ""pop"", ""pop dance"", ""radio"", ""tech house"", ""techno"", ""tiktok"", ""top 40"", ""top charts"", ""top40"", ""vocal jazz""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:27:27.356Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
- 1 A - Relax von 1A Radio,1-a-relax-von-1a-radio,,Germany,http://www.1aradio.com/,"[""ambient"", ""chillout"", ""easy listening"", ""electro""]","1A Radio bietet f&uuml;r jeden Geschmack das richtige Programm: Schlager, Volksmusik, aktuelle Hits, Oldies der 60er, 70er, 80er und 90er &ndash; hier","{""top"": [{""count"": 513, ""genre"": ""pop""}, {""count"": 225, ""genre"": ""rock""}, {""count"": 155, ""genre"": ""ballad""}, {""count"": 135, ""genre"": ""pop rock""}, {""count"": 84, ""genre"": ""classic rock""}, {""count"": 76, ""genre"": ""electronic""}, {""count"": 67, ""genre"": ""soul""}, {""count"": 60, ""genre"": ""soft rock""}], ""totalCount"": 3857, ""unknownCount"": 3136}","{""top"": [{""count"": 513, ""genre"": ""pop""}, {""count"": 225, ""genre"": ""rock""}, {""count"": 155, ""genre"": ""ballad""}, {""count"": 135, ""genre"": ""pop rock""}, {""count"": 84, ""genre"": ""classic rock""}, {""count"": 76, ""genre"": ""electronic""}, {""count"": 67, ""genre"": ""soul""}, {""count"": 60, ""genre"": ""soft rock""}], ""updatedAt"": ""2026-09-16T19:16:49.656Z"", ""sampleSize"": 5265, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:16:39.769Z"", ""excludedCount"": 21, ""genreCoverage"": 0.18698132780082988, ""readinessTier"": ""ready"", ""resolvedCount"": 3856, ""resolutionRate"": 0.7323836657169991, ""datedTrackCount"": 3426, ""genreTaggedCount"": 721, ""uniqueTrackCount"": 1860, ""uniqueArtistCount"": 837, ""unknownGenreCount"": 3135, ""datedTrackCoverage"": 0.8884854771784232}",curated,radio_browser,,f
0 N — 2000s,rb-1a4914a2-f35f-11e8-a471-52543be04c81,0 N,DE,https://www.0nradio.com/,"[""2000s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:43.994Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,automated,f
0 N — 50s,rb-d4c545ef-a4e5-412a-b141-852c2fe50707,0 N,DE,https://www.0nradio.com/,"[""50s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:23.637Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,automated,f
0 N — 60s,rb-f9533da3-f2c1-11e8-a471-52543be04c81,0 N,DE,https://www.0nradio.com/,"[""60s"", ""era"", ""specialist""]","ON Radio bringt Musik direkt aufs Smartphone, Tablet, PC oder Webradio: Oldies von den 60ern bis 80ern, Charts, Classic Rock, Jazz, Chillout,... alles ist",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:41.499Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,automated,f
0nlineradio — 50s,rb-0725d662-7f7b-4363-8c8f-2b35c6916d84,0nlineradio,DE,https://0nlineradio.com/,"[""50s"", ""era"", ""specialist""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:29.113Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,automated,f
1.FM - Radio Gaia,1-fm-radio-gaia,,Switzerland,http://www.1.fm/,"[""world"", ""world music""]","Free Online Radio, Listen to your favorite music genres like Chillout, Trance, Dance, 80s, 90s, 60s, dubstep, psytrance, techno and much more.","{""top"": [{""count"": 317, ""genre"": ""new age""}, {""count"": 283, ""genre"": ""electronic""}, {""count"": 281, ""genre"": ""ambient""}, {""count"": 64, ""genre"": ""instrumental""}, {""count"": 46, ""genre"": ""celtic""}, {""count"": 46, ""genre"": ""downtempo""}, {""count"": 45, ""genre"": ""modern classical""}, {""count"": 37, ""genre"": ""folk""}], ""totalCount"": 1768, ""unknownCount"": 1331}","{""top"": [{""count"": 317, ""genre"": ""new age""}, {""count"": 283, ""genre"": ""electronic""}, {""count"": 281, ""genre"": ""ambient""}, {""count"": 64, ""genre"": ""instrumental""}, {""count"": 46, ""genre"": ""celtic""}, {""count"": 46, ""genre"": ""downtempo""}, {""count"": 45, ""genre"": ""modern classical""}, {""count"": 37, ""genre"": ""folk""}], ""updatedAt"": ""2026-09-16T19:19:57.659Z"", ""sampleSize"": 4038, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:33:24.325Z"", ""excludedCount"": 21, ""genreCoverage"": 0.24745186862967158, ""readinessTier"": ""ready"", ""resolvedCount"": 1766, ""resolutionRate"": 0.43734522040614165, ""datedTrackCount"": 1654, ""genreTaggedCount"": 437, ""uniqueTrackCount"": 252, ""uniqueArtistCount"": 160, ""unknownGenreCount"": 1329, ""datedTrackCoverage"": 0.9365798414496036}",curated,radio_browser,,f
100% ACID JAZZ,100-acid-jazz,,Canada,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/,"[""acid"", ""acid jazz"", ""ambient"", ""canada"", ""classic jazz"", ""free jazz"", ""hip hop"", ""instrumental music"", ""instrumentales"", ""jazz"", ""jazz fusion"", ""latin jazz"", ""nu-jazz"", ""piano jazz"", ""relax"", ""relaxing"", ""smooth jazz"", ""toronto"", ""trumpeth""]",100% ACID JAZZ &#8211; Radio Suite Network,"{""top"": [{""count"": 116, ""genre"": ""jazz""}, {""count"": 56, ""genre"": ""acid jazz""}, {""count"": 43, ""genre"": ""electronic""}, {""count"": 43, ""genre"": ""smooth jazz""}, {""count"": 38, ""genre"": ""jazz-funk""}, {""count"": 30, ""genre"": ""funk""}, {""count"": 23, ""genre"": ""hip hop""}, {""count"": 21, ""genre"": ""contemporary jazz""}], ""totalCount"": 974, ""unknownCount"": 799}","{""top"": [{""count"": 116, ""genre"": ""jazz""}, {""count"": 56, ""genre"": ""acid jazz""}, {""count"": 43, ""genre"": ""electronic""}, {""count"": 43, ""genre"": ""smooth jazz""}, {""count"": 38, ""genre"": ""jazz-funk""}, {""count"": 30, ""genre"": ""funk""}, {""count"": 23, ""genre"": ""hip hop""}, {""count"": 21, ""genre"": ""contemporary jazz""}], ""updatedAt"": ""2026-09-16T19:11:01.562Z"", ""sampleSize"": 1683, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:34:25.771Z"", ""excludedCount"": 15, ""genreCoverage"": 0.18134715025906736, ""readinessTier"": ""ready"", ""resolvedCount"": 965, ""resolutionRate"": 0.5733808674985146, ""datedTrackCount"": 903, ""genreTaggedCount"": 175, ""uniqueTrackCount"": 524, ""uniqueArtistCount"": 318, ""unknownGenreCount"": 790, ""datedTrackCoverage"": 0.9357512953367876}",curated,radio_browser,,f
1000 Melodien,1000-melodien,,Germany,http://1000melodien.de/,"[""ambient"", ""easy listening"", ""instrumental""]","Aktueller Song, Playlist und Infos zu 1000 Melodien.",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:12:24.067Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
1001 TRUMPET SONG,1001-trumpet-song,,Germany,https://laut.fm/1001-trumpet-song,"[""classic - instrumental"", ""classic jazz"", ""instrumental"", ""instrumental music"", ""jazz"", ""jazz fusion"", ""nu-jazz"", ""smooth jazz""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:21:33.958Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
